game,rank,country,earning,players
Call of Duty Modern Warfare 3,1.,United States,"$684,635.70",49 Players
Call of Duty Modern Warfare 3,2.,United Kingdom,"$403,785.35",41 Players
Call of Duty Modern Warfare 3,3.,France,"$29,962.94",23 Players
Call of Duty Modern Warfare 3,4.,Spain,"$13,835.28",52 Players
Call of Duty Modern Warfare 3,5.,Canada,"$7,649.30",2 Players
Call of Duty Modern Warfare 3,6.,Australia,"$6,376.01",20 Players
Call of Duty Modern Warfare 3,7.,Ireland,"$1,759.76",2 Players
Call of Duty Modern Warfare 3,8.,Netherlands,"$1,430.94",5 Players
Call of Duty Modern Warfare 3,9.,New Zealand,$957.91,11 Players
Call of Duty Modern Warfare 3,10.,Bulgaria,$583.82,1 Player
Call of Duty Modern Warfare 3,11.,Belgium,$258.64,1 Player
Call of Duty Modern Warfare 3,12.,Italy,$116.30,1 Player
Call of Duty Modern Warfare 3,13.,Croatia,$104.63,1 Player
