game,rank,country,earning,players
Call of Duty Modern Warfare II,1.,United States,"$3,408,500.00",49 Players
Call of Duty Modern Warfare II,2.,United Kingdom,"$656,000.00",9 Players
Call of Duty Modern Warfare II,3.,France,"$365,000.00",1 Player
Call of Duty Modern Warfare II,4.,Denmark,"$245,000.00",1 Player
Call of Duty Modern Warfare II,5.,Canada,"$116,500.00",5 Players
Call of Duty Modern Warfare II,6.,Saudi Arabia,"$92,500.00",1 Player
Call of Duty Modern Warfare II,7.,Australia,"$89,000.00",13 Players
Call of Duty Modern Warfare II,8.,Mexico,"$20,000.00",1 Player
Call of Duty Modern Warfare II,9.,Spain,"$10,000.00",1 Player
Call of Duty Modern Warfare II,10.,Afghanistan,"$6,500.00",1 Player
