game,rank,country,earning,players
Call of Duty Vanguard,1.,United States,"$4,769,499.95",128 Players
Call of Duty Vanguard,2.,United Kingdom,"$602,333.34",49 Players
Call of Duty Vanguard,3.,Canada,"$299,750.00",14 Players
Call of Duty Vanguard,4.,Australia,"$160,000.00",20 Players
Call of Duty Vanguard,5.,Spain,"$127,625.00",9 Players
Call of Duty Vanguard,6.,France,"$115,833.33",7 Players
Call of Duty Vanguard,7.,Denmark,"$72,250.00",1 Player
Call of Duty Vanguard,8.,Saudi Arabia,"$58,333.33",1 Player
Call of Duty Vanguard,9.,Afghanistan,"$50,333.33",1 Player
Call of Duty Vanguard,10.,Belgium,"$30,125.00",2 Players
Call of Duty Vanguard,11.,Argentina,"$9,750.00",6 Players
Call of Duty Vanguard,12.,Ecuador,"$6,125.00",4 Players
Call of Duty Vanguard,13.,Italy,"$6,000.00",5 Players
Call of Duty Vanguard,14.,Guatemala,"$3,250.00",2 Players
Call of Duty Vanguard,15.,Chile,"$2,875.00",1 Player
Call of Duty Vanguard,16.,Poland,"$2,333.33",2 Players
Call of Duty Vanguard,17.,Russian Federation,"$2,000.00",4 Players
Call of Duty Vanguard,18.,Germany,"$1,333.33",1 Player
Call of Duty Vanguard,19.,Mexico,$500.00,2 Players
Call of Duty Vanguard,20.,New Zealand,$500.00,1 Player
Call of Duty Vanguard,21.,Ireland,$250.00,1 Player
