game,rank,country,earning,players
Call of Duty Warzone,1.,United States,"$6,147,583.18",771 Players
Call of Duty Warzone,2.,United Kingdom,"$2,246,949.30",137 Players
Call of Duty Warzone,3.,Canada,"$727,712.74",73 Players
Call of Duty Warzone,4.,Russian Federation,"$308,560.88",49 Players
Call of Duty Warzone,5.,Italy,"$252,717.11",47 Players
Call of Duty Warzone,6.,France,"$249,312.67",68 Players
Call of Duty Warzone,7.,Spain,"$163,615.95",54 Players
Call of Duty Warzone,8.,Germany,"$155,518.67",73 Players
Call of Duty Warzone,9.,Turkey,"$92,834.64",48 Players
Call of Duty Warzone,10.,Poland,"$87,829.32",41 Players
Call of Duty Warzone,11.,Mexico,"$38,150.00",14 Players
Call of Duty Warzone,12.,Ireland,"$29,638.34",5 Players
Call of Duty Warzone,13.,Latvia,"$26,019.16",3 Players
Call of Duty Warzone,14.,Lebanon,"$22,782.67",2 Players
Call of Duty Warzone,15.,Netherlands,"$18,722.33",32 Players
Call of Duty Warzone,16.,Portugal,"$16,066.67",2 Players
Call of Duty Warzone,17.,Australia,"$16,020.84",13 Players
Call of Duty Warzone,18.,Georgia,"$14,250.00",1 Player
Call of Duty Warzone,19.,Belgium,"$13,851.45",13 Players
Call of Duty Warzone,20.,Brazil,"$12,599.99",7 Players
Call of Duty Warzone,21.,Sweden,"$10,762.32",16 Players
Call of Duty Warzone,22.,Israel,"$10,725.00",3 Players
Call of Duty Warzone,23.,Norway,"$10,377.18",12 Players
Call of Duty Warzone,24.,Finland,"$7,566.66",2 Players
Call of Duty Warzone,25.,Denmark,"$6,216.67",8 Players
Call of Duty Warzone,26.,Austria,"$6,146.74",6 Players
Call of Duty Warzone,27.,Ukraine,"$5,000.00",1 Player
Call of Duty Warzone,28.,Puerto Rico,"$4,166.67",2 Players
Call of Duty Warzone,29.,Ecuador,"$4,000.00",1 Player
Call of Duty Warzone,30.,Hungary,"$3,900.00",13 Players
Call of Duty Warzone,31.,New Zealand,"$3,750.00",2 Players
Call of Duty Warzone,32.,Afghanistan,"$3,000.00",1 Player
Call of Duty Warzone,33.,Estonia,"$2,425.00",1 Player
Call of Duty Warzone,34.,Philippines,"$1,950.00",4 Players
Call of Duty Warzone,35.,Czech Republic,"$1,875.00",8 Players
Call of Duty Warzone,36.,Jamaica,"$1,850.00",1 Player
Call of Duty Warzone,37.,Saudi Arabia,"$1,750.00",1 Player
Call of Duty Warzone,38.,Colombia,"$1,300.00",1 Player
Call of Duty Warzone,39.,Qatar,"$1,166.67",1 Player
Call of Duty Warzone,40.,Gibraltar,"$1,125.00",1 Player
Call of Duty Warzone,41.,Switzerland,"$1,000.00",1 Player
Call of Duty Warzone,42.,Morocco,$900.00,1 Player
Call of Duty Warzone,43.,Honduras,$833.33,1 Player
Call of Duty Warzone,44.,Guyana,$700.00,1 Player
Call of Duty Warzone,45.,Argentina,$500.00,1 Player
Call of Duty Warzone,46.,Japan,$500.00,1 Player
Call of Duty Warzone,47.,Peru,$500.00,1 Player
Call of Duty Warzone,48.,Belarus,$425.00,1 Player
Call of Duty Warzone,49.,Albania,$400.00,1 Player
Call of Duty Warzone,50.,Singapore,$300.00,1 Player
Call of Duty Warzone,51.,Romania,$250.00,2 Players
Call of Duty Warzone,52.,Malta,$203.47,9 Players
Call of Duty Warzone,53.,Lithuania,$200.00,1 Player
Call of Duty Warzone,54.,Serbia,$175.00,1 Player
Call of Duty Warzone,55.,Venezuela,$33.33,1 Player
Call of Duty Warzone,56.,Tunisia,$12.18,1 Player
