game,rank,country,earning,players
Counter-Strike 2,1.,Poland,"$8,350.00",9 Players
Counter-Strike 2,2.,Bulgaria,"$4,500.00",5 Players
Counter-Strike 2,3.,Turkey,"$2,750.00",1 Player
Counter-Strike 2,4.,Estonia,"$2,700.00",3 Players
Counter-Strike 2,5.,Denmark,"$2,200.00",1 Player
Counter-Strike 2,6.,Canada,"$2,000.00",1 Player
Counter-Strike 2,7.,Latvia,"$2,000.00",1 Player
Counter-Strike 2,8.,Norway,"$2,000.00",1 Player
Counter-Strike 2,9.,Germany,"$1,300.00",2 Players
Counter-Strike 2,10.,Finland,$200.00,1 Player
