game,rank,country,earning,players
Counter-Strike Global Offensive,1.,Denmark,"$22,643,244.23",557 Players
Counter-Strike Global Offensive,2.,Russian Federation,"$14,775,593.10",901 Players
Counter-Strike Global Offensive,3.,United States,"$13,772,047.96",2349 Players
Counter-Strike Global Offensive,4.,Sweden,"$12,547,677.32",938 Players
Counter-Strike Global Offensive,5.,Brazil,"$11,585,630.73",736 Players
Counter-Strike Global Offensive,6.,France,"$9,610,568.55",703 Players
Counter-Strike Global Offensive,7.,Poland,"$8,075,953.41",638 Players
Counter-Strike Global Offensive,8.,Ukraine,"$5,920,335.05",290 Players
Counter-Strike Global Offensive,9.,Canada,"$5,645,696.79",557 Players
Counter-Strike Global Offensive,10.,Germany,"$4,255,399.66",697 Players
Counter-Strike Global Offensive,11.,Finland,"$3,673,445.27",446 Players
Counter-Strike Global Offensive,12.,China,"$3,545,901.84",695 Players
Counter-Strike Global Offensive,13.,Kazakhstan,"$3,233,144.39",89 Players
Counter-Strike Global Offensive,14.,Australia,"$2,801,906.02",563 Players
Counter-Strike Global Offensive,15.,Bulgaria,"$2,705,341.32",137 Players
Counter-Strike Global Offensive,16.,Norway,"$2,462,323.69",278 Players
Counter-Strike Global Offensive,17.,Bosnia and Herzegovina,"$2,015,742.99",25 Players
Counter-Strike Global Offensive,18.,Slovakia,"$1,960,641.53",112 Players
Counter-Strike Global Offensive,19.,Turkey,"$1,853,247.59",234 Players
Counter-Strike Global Offensive,20.,United Kingdom,"$1,593,013.46",568 Players
Counter-Strike Global Offensive,21.,Estonia,"$1,554,862.26",119 Players
Counter-Strike Global Offensive,22.,Latvia,"$1,394,040.28",174 Players
Counter-Strike Global Offensive,23.,Spain,"$1,339,306.68",253 Players
Counter-Strike Global Offensive,24.,Czech Republic,"$1,222,141.30",164 Players
Counter-Strike Global Offensive,25.,Netherlands,"$1,034,561.00",155 Players
Counter-Strike Global Offensive,26.,Belgium,"$963,171.31",136 Players
Counter-Strike Global Offensive,27.,Portugal,"$924,053.63",244 Players
Counter-Strike Global Offensive,28.,South Africa,"$918,340.12",274 Players
Counter-Strike Global Offensive,29.,Serbia,"$852,546.61",94 Players
Counter-Strike Global Offensive,30.,Israel,"$790,975.57",64 Players
Counter-Strike Global Offensive,31.,Mongolia,"$688,550.40",94 Players
Counter-Strike Global Offensive,32.,Argentina,"$680,051.81",191 Players
Counter-Strike Global Offensive,33.,Lithuania,"$653,433.52",138 Players
Counter-Strike Global Offensive,34.,Romania,"$569,667.66",136 Players
Counter-Strike Global Offensive,35.,Thailand,"$479,466.43",133 Players
Counter-Strike Global Offensive,36.,"Korea, Republic of","$469,757.37",172 Players
Counter-Strike Global Offensive,37.,Hungary,"$448,068.23",142 Players
Counter-Strike Global Offensive,38.,Saudi Arabia,"$400,020.39",13 Players
