game,rank,country,earning,players
Counter-Strike,1.,Sweden,"$2,871,749.97",397 Players
Counter-Strike,2.,Germany,"$1,505,163.76",391 Players
Counter-Strike,3.,United States,"$1,494,285.27",473 Players
Counter-Strike,4.,Russian Federation,"$1,127,428.11",441 Players
Counter-Strike,5.,Denmark,"$1,031,549.77",199 Players
Counter-Strike,6.,China,"$854,662.89",269 Players
Counter-Strike,7.,Poland,"$762,200.13",87 Players
Counter-Strike,8.,Ukraine,"$719,584.97",280 Players
Counter-Strike,9.,Norway,"$450,603.12",122 Players
Counter-Strike,10.,France,"$411,101.22",240 Players
Counter-Strike,11.,Finland,"$408,115.69",121 Players
Counter-Strike,12.,Brazil,"$382,444.80",118 Players
Counter-Strike,13.,"Korea, Republic of","$348,212.86",77 Players
Counter-Strike,14.,Canada,"$238,896.66",103 Players
Counter-Strike,15.,Austria,"$162,732.91",31 Players
Counter-Strike,16.,Spain,"$140,348.67",102 Players
Counter-Strike,17.,Kazakhstan,"$82,757.70",71 Players
Counter-Strike,18.,United Kingdom,"$54,660.56",27 Players
Counter-Strike,19.,Portugal,"$35,924.45",79 Players
Counter-Strike,20.,Singapore,"$31,912.68",23 Players
Counter-Strike,21.,Turkey,"$30,686.33",24 Players
Counter-Strike,22.,Bulgaria,"$28,768.71",56 Players
Counter-Strike,23.,Bosnia and Herzegovina,"$25,478.64",2 Players
Counter-Strike,24.,Romania,"$25,248.08",44 Players
Counter-Strike,25.,Netherlands,"$19,461.88",33 Players
Counter-Strike,26.,Australia,"$19,011.76",25 Players
Counter-Strike,27.,Hungary,"$17,623.81",24 Players
Counter-Strike,28.,Argentina,"$15,753.45",35 Players
Counter-Strike,29.,"Taiwan, Republic of China","$13,893.10",22 Players
Counter-Strike,30.,Japan,"$10,983.90",10 Players
Counter-Strike,31.,Belarus,"$9,276.18",44 Players
Counter-Strike,32.,Czech Republic,"$7,320.04",22 Players
Counter-Strike,33.,Belgium,"$6,992.23",14 Players
Counter-Strike,34.,Estonia,"$6,652.25",18 Players
Counter-Strike,35.,Malaysia,"$6,139.00",11 Players
Counter-Strike,36.,Slovakia,"$5,574.85",26 Players
Counter-Strike,37.,Serbia,"$5,490.56",34 Players
Counter-Strike,38.,Chile,"$4,948.35",20 Players
Counter-Strike,39.,Peru,"$4,750.00",8 Players
Counter-Strike,40.,North Macedonia,"$4,732.64",8 Players
Counter-Strike,41.,Thailand,"$4,308.61",1 Player
Counter-Strike,42.,Indonesia,"$3,953.25",8 Players
Counter-Strike,43.,Iceland,"$3,887.69",7 Players
Counter-Strike,44.,United Arab Emirates,"$3,603.00",11 Players
Counter-Strike,45.,Hong Kong,"$3,580.45",17 Players
Counter-Strike,46.,Uzbekistan,"$3,058.30",7 Players
Counter-Strike,47.,Italy,"$3,016.18",18 Players
Counter-Strike,48.,India,"$2,036.00",6 Players
Counter-Strike,49.,Greece,"$1,941.30",15 Players
Counter-Strike,50.,Viet Nam,"$1,917.60",1 Player
Counter-Strike,51.,Switzerland,"$1,579.25",3 Players
Counter-Strike,52.,Pakistan,"$1,563.00",7 Players
Counter-Strike,53.,Latvia,"$1,474.00",11 Players
Counter-Strike,54.,Israel,"$1,062.20",5 Players
Counter-Strike,55.,Lithuania,$716.50,5 Players
Counter-Strike,56.,Ecuador,$530.36,1 Player
Counter-Strike,57.,"Iran, Islamic Republic of",$508.96,2 Players
Counter-Strike,58.,Ireland,$306.14,2 Players
Counter-Strike,59.,Algeria,$222.27,1 Player
Counter-Strike,60.,Venezuela,$145.48,1 Player
Counter-Strike,61.,Philippines,$100.00,1 Player
Counter-Strike,62.,"Moldova, Republic of",$98.00,5 Players
Counter-Strike,63.,Jamaica,$83.33,1 Player
Counter-Strike,64.,Egypt,$77.98,1 Player
