game,rank,country,earning,players
Critical Ops,1.,Russian Federation,"$7,600.00",7 Players
Critical Ops,2.,Brazil,"$6,500.00",10 Players
Critical Ops,3.,Turkey,"$3,000.00",5 Players
Critical Ops,4.,Ukraine,"$2,500.00",2 Players
Critical Ops,5.,Germany,"$2,400.00",1 Player
Critical Ops,6.,United States,"$1,579.80",13 Players
Critical Ops,7.,United Arab Emirates,$100.00,1 Player
Critical Ops,8.,Australia,$100.00,1 Player
Critical Ops,9.,"Korea, Republic of",$100.00,1 Player
Critical Ops,10.,Malaysia,$100.00,1 Player
Critical Ops,11.,Singapore,$100.00,1 Player
Critical Ops,12.,Belgium,$26.60,1 Player
