game,rank,country,earning,players
CrossFire,1.,China,"$11,506,611.21",252 Players
CrossFire,2.,Brazil,"$2,112,190.80",86 Players
CrossFire,3.,Germany,"$845,280.55",126 Players
CrossFire,4.,Viet Nam,"$785,539.78",74 Players
CrossFire,5.,Philippines,"$353,630.52",35 Players
CrossFire,6.,Russian Federation,"$298,696.30",36 Players
CrossFire,7.,Egypt,"$208,496.92",34 Players
CrossFire,8.,United States,"$163,172.80",44 Players
CrossFire,9.,Colombia,"$98,231.80",9 Players
CrossFire,10.,Canada,"$71,093.50",13 Players
CrossFire,11.,Portugal,"$37,019.48",72 Players
CrossFire,12.,Slovakia,"$35,860.27",2 Players
CrossFire,13.,Netherlands,"$33,123.54",13 Players
CrossFire,14.,Indonesia,"$26,000.00",8 Players
CrossFire,15.,Japan,"$22,525.70",14 Players
CrossFire,16.,"Korea, Republic of","$20,000.00",13 Players
CrossFire,17.,Slovenia,"$19,565.20",2 Players
CrossFire,18.,Croatia,"$14,405.37",6 Players
CrossFire,19.,Turkey,"$12,956.49",14 Players
CrossFire,20.,France,"$8,354.21",10 Players
CrossFire,21.,Belgium,"$7,879.62",12 Players
CrossFire,22.,Austria,"$7,274.30",2 Players
CrossFire,23.,Venezuela,"$6,000.00",6 Players
CrossFire,24.,Malaysia,"$5,000.00",5 Players
CrossFire,25.,"Taiwan, Republic of China","$5,000.00",5 Players
CrossFire,26.,Belarus,"$4,200.00",2 Players
CrossFire,27.,Mexico,"$2,400.00",2 Players
CrossFire,28.,Sweden,"$2,385.85",14 Players
CrossFire,29.,Italy,"$1,956.33",1 Player
CrossFire,30.,Greece,"$1,752.49",9 Players
CrossFire,31.,Peru,"$1,600.00",2 Players
CrossFire,32.,"Iran, Islamic Republic of","$1,050.00",1 Player
CrossFire,33.,Morocco,$967.22,2 Players
CrossFire,34.,Romania,$777.50,11 Players
CrossFire,35.,United Kingdom,$271.74,9 Players
CrossFire,36.,Poland,$271.70,4 Players
CrossFire,37.,Serbia,$141.83,1 Player
CrossFire,38.,Switzerland,$141.28,3 Players
CrossFire,39.,Kazakhstan,$140.00,1 Player
CrossFire,40.,Finland,$54.34,1 Player
CrossFire,41.,Spain,$32.60,1 Player
CrossFire,42.,"Palestine, State of",$20.00,1 Player
