game,rank,country,earning,players
Day of Defeat Source,1.,France,"$6,386.38",23 Players
Day of Defeat Source,2.,Sweden,$960.24,4 Players
Day of Defeat Source,3.,Belgium,$778.90,6 Players
Day of Defeat Source,4.,Germany,$609.77,2 Players
Day of Defeat Source,5.,Spain,$447.91,1 Player
Day of Defeat Source,6.,Finland,$445.40,2 Players
Day of Defeat Source,7.,Denmark,$381.40,4 Players
Day of Defeat Source,8.,Norway,$345.47,1 Player
Day of Defeat Source,9.,Poland,$333.72,2 Players
Day of Defeat Source,10.,United Kingdom,$284.55,5 Players
