game,rank,country,earning,players
Diabotical,1.,United States,"$93,503.25",161 Players
Diabotical,2.,Russian Federation,"$54,338.18",62 Players
Diabotical,3.,Australia,"$14,818.46",90 Players
Diabotical,4.,Netherlands,"$14,599.66",5 Players
Diabotical,5.,United Kingdom,"$13,982.85",21 Players
Diabotical,6.,Poland,"$11,390.10",9 Players
Diabotical,7.,Belarus,"$7,930.00",4 Players
Diabotical,8.,France,"$7,234.20",19 Players
Diabotical,9.,Denmark,"$7,096.38",4 Players
Diabotical,10.,Canada,"$6,684.27",15 Players
Diabotical,11.,Singapore,"$4,328.60",4 Players
Diabotical,12.,Germany,"$3,902.97",17 Players
Diabotical,13.,Italy,"$3,584.25",8 Players
Diabotical,14.,Serbia,"$3,508.13",3 Players
Diabotical,15.,Estonia,"$3,483.27",3 Players
Diabotical,16.,Lithuania,"$2,556.55",3 Players
Diabotical,17.,Latvia,"$2,167.78",1 Player
Diabotical,18.,Portugal,"$1,769.02",1 Player
Diabotical,19.,New Zealand,"$1,761.17",9 Players
Diabotical,20.,Finland,"$1,101.80",5 Players
Diabotical,21.,Argentina,"$1,075.00",3 Players
Diabotical,22.,Albania,$944.09,1 Player
Diabotical,23.,Spain,$914.92,3 Players
Diabotical,24.,Sweden,$868.04,6 Players
Diabotical,25.,Czech Republic,$683.33,1 Player
Diabotical,26.,Ukraine,$668.23,2 Players
Diabotical,27.,Wallis And Futuna,$600.00,1 Player
Diabotical,28.,Åland Islands,$560.00,2 Players
Diabotical,29.,Romania,$340.00,1 Player
Diabotical,30.,Slovakia,$255.00,1 Player
Diabotical,31.,Chile,$246.22,2 Players
Diabotical,32.,Hungary,$203.48,1 Player
Diabotical,33.,Brazil,$200.00,1 Player
Diabotical,34.,Bulgaria,$150.00,1 Player
Diabotical,35.,Japan,$150.00,2 Players
Diabotical,36.,Ireland,$100.00,1 Player
Diabotical,37.,Belgium,$83.34,3 Players
Diabotical,38.,Mexico,$82.50,1 Player
Diabotical,39.,Kazakhstan,$76.19,1 Player
Diabotical,40.,Switzerland,$70.14,2 Players
Diabotical,41.,Norway,$50.00,1 Player
Diabotical,42.,"Taiwan, Republic of China",$50.00,1 Player
Diabotical,43.,"Korea, Republic of",$43.16,8 Players
Diabotical,44.,Malaysia,$25.00,1 Player
Diabotical,45.,New Caledonia,$25.00,1 Player
Diabotical,46.,Papua New Guinea,$25.00,1 Player
Diabotical,47.,Peru,$4.00,1 Player
