game,rank,country,earning,players
Escape from Tarkov,1.,United States,"$38,900.00",55 Players
Escape from Tarkov,2.,Russian Federation,"$21,250.00",18 Players
Escape from Tarkov,3.,Canada,"$11,300.00",13 Players
Escape from Tarkov,4.,Australia,"$8,850.00",3 Players
Escape from Tarkov,5.,Germany,"$7,950.00",9 Players
Escape from Tarkov,6.,United Kingdom,"$6,050.00",8 Players
Escape from Tarkov,7.,Poland,"$3,950.00",8 Players
Escape from Tarkov,8.,France,"$2,850.00",4 Players
Escape from Tarkov,9.,Italy,"$2,850.00",7 Players
Escape from Tarkov,10.,Turkey,"$1,950.00",7 Players
Escape from Tarkov,11.,Ireland,"$1,900.00",2 Players
Escape from Tarkov,12.,South Africa,"$1,800.00",1 Player
Escape from Tarkov,13.,Spain,"$1,500.00",6 Players
Escape from Tarkov,14.,Netherlands,"$1,100.00",3 Players
Escape from Tarkov,15.,Belarus,$800.00,1 Player
Escape from Tarkov,16.,Norway,$600.00,1 Player
Escape from Tarkov,17.,Croatia,$400.00,1 Player
Escape from Tarkov,18.,Sweden,$400.00,1 Player
Escape from Tarkov,19.,Serbia,$100.00,1 Player
Escape from Tarkov,20.,Slovakia,$100.00,1 Player
