game,rank,country,earning,players
Evolve,1.,United States,"$79,839.27",46 Players
Evolve,2.,United Kingdom,"$16,154.46",8 Players
Evolve,3.,France,"$14,259.53",7 Players
Evolve,4.,Germany,"$2,972.11",9 Players
Evolve,5.,Netherlands,"$2,282.22",7 Players
Evolve,6.,Greece,"$1,549.52",2 Players
Evolve,7.,Switzerland,"$1,538.71",2 Players
Evolve,8.,Austria,"$1,010.82",2 Players
Evolve,9.,Ireland,"$1,000.00",1 Player
Evolve,10.,Poland,$806.09,2 Players
Evolve,11.,Norway,$406.42,5 Players
Evolve,12.,Sweden,$206.18,3 Players
Evolve,13.,Canada,$121.64,2 Players
Evolve,14.,Japan,$109.45,5 Players
Evolve,15.,Portugal,$108.14,2 Players
Evolve,16.,Denmark,$89.06,2 Players
Evolve,17.,Singapore,$66.70,3 Players
Evolve,18.,Belgium,$54.42,1 Player
Evolve,19.,Israel,$54.41,1 Player
