game,rank,country,earning,players
Halo 3,1.,United States,"$2,153,437.10",137 Players
Halo 3,2.,Canada,"$71,450.00",7 Players
Halo 3,3.,United Kingdom,"$38,947.85",47 Players
Halo 3,4.,France,"$20,156.84",8 Players
Halo 3,5.,Sweden,"$5,414.78",4 Players
Halo 3,6.,Netherlands,"$2,897.90",9 Players
Halo 3,7.,Italy,"$1,500.00",1 Player
Halo 3,8.,Finland,"$1,097.76",4 Players
Halo 3,9.,Ireland,"$1,000.00",1 Player
Halo 3,10.,Belgium,$470.46,2 Players
Halo 3,11.,Norway,$457.92,1 Player
Halo 3,12.,Switzerland,$196.02,1 Player
