game,rank,country,earning,players
Metal Gear Online,1.,Japan,"$2,000.04",8 Players
Metal Gear Online,2.,United States,"$1,833.37",8 Players
Metal Gear Online,3.,United Kingdom,"$1,166.69",5 Players
Metal Gear Online,4.,France,$833.35,4 Players
Metal Gear Online,5.,Spain,$666.68,4 Players
Metal Gear Online,6.,Finland,$333.34,2 Players
Metal Gear Online,7.,Italy,$333.34,1 Player
Metal Gear Online,8.,Saudi Arabia,$333.34,2 Players
Metal Gear Online,9.,Canada,$166.67,1 Player
Metal Gear Online,10.,Switzerland,$166.67,1 Player
Metal Gear Online,11.,Germany,$166.67,1 Player
