game,rank,country,earning,players
Overwatch 2,1.,"Korea, Republic of","$4,493,527.45",241 Players
Overwatch 2,2.,United States,"$1,164,113.28",155 Players
Overwatch 2,3.,China,"$510,273.34",73 Players
Overwatch 2,4.,Saudi Arabia,"$256,114.73",36 Players
Overwatch 2,5.,United Kingdom,"$197,486.25",29 Players
Overwatch 2,6.,Sweden,"$133,998.16",14 Players
Overwatch 2,7.,Denmark,"$101,887.14",14 Players
Overwatch 2,8.,Thailand,"$84,887.48",14 Players
Overwatch 2,9.,Germany,"$71,750.25",18 Players
Overwatch 2,10.,Australia,"$69,123.96",45 Players
Overwatch 2,11.,France,"$52,181.87",26 Players
Overwatch 2,12.,Netherlands,"$41,068.71",15 Players
Overwatch 2,13.,Estonia,"$34,512.64",3 Players
Overwatch 2,14.,Finland,"$34,470.00",13 Players
Overwatch 2,15.,Canada,"$28,526.22",19 Players
Overwatch 2,16.,Dominican Republic,"$16,755.95",1 Player
Overwatch 2,17.,Spain,"$16,508.26",11 Players
Overwatch 2,18.,New Zealand,"$14,903.89",9 Players
Overwatch 2,19.,Japan,"$14,756.24",10 Players
Overwatch 2,20.,Turkey,"$14,239.58",6 Players
Overwatch 2,21.,Belgium,"$11,678.94",6 Players
Overwatch 2,22.,Russian Federation,"$11,262.80",6 Players
Overwatch 2,23.,Norway,"$10,890.79",7 Players
Overwatch 2,24.,Austria,"$10,636.90",2 Players
Overwatch 2,25.,Singapore,"$7,761.89",13 Players
Overwatch 2,26.,Hong Kong,"$6,737.48",7 Players
Overwatch 2,27.,Switzerland,"$6,385.12",2 Players
Overwatch 2,28.,Czech Republic,"$5,279.76",2 Players
Overwatch 2,29.,Hungary,"$4,757.15",1 Player
Overwatch 2,30.,Mexico,"$4,687.47",9 Players
Overwatch 2,31.,India,"$4,645.84",6 Players
Overwatch 2,32.,"Taiwan, Republic of China","$3,967.27",7 Players
Overwatch 2,33.,Ukraine,"$3,773.81",1 Player
Overwatch 2,34.,Romania,"$3,357.14",2 Players
Overwatch 2,35.,Israel,"$3,327.59",3 Players
Overwatch 2,36.,Bulgaria,"$3,000.00",1 Player
Overwatch 2,37.,Greece,"$2,968.75",1 Player
Overwatch 2,38.,Colombia,"$2,400.00",6 Players
Overwatch 2,39.,Brazil,"$2,218.72",8 Players
Overwatch 2,40.,Argentina,"$2,000.00",5 Players
Overwatch 2,41.,Costa Rica,"$2,000.00",5 Players
Overwatch 2,42.,Guatemala,"$2,000.00",5 Players
Overwatch 2,43.,Puerto Rico,"$2,000.00",8 Players
Overwatch 2,44.,Philippines,"$1,999.98",6 Players
Overwatch 2,45.,Indonesia,"$1,714.26",6 Players
Overwatch 2,46.,Peru,"$1,714.26",6 Players
Overwatch 2,47.,Chile,"$1,666.65",5 Players
Overwatch 2,48.,Ireland,"$1,607.15",1 Player
Overwatch 2,49.,Ecuador,"$1,600.00",4 Players
Overwatch 2,50.,Malaysia,"$1,600.00",4 Players
Overwatch 2,51.,Italy,"$1,416.65",4 Players
Overwatch 2,52.,Serbia,"$1,354.17",1 Player
Overwatch 2,53.,Poland,"$1,333.32",4 Players
Overwatch 2,54.,Lithuania,"$1,321.43",1 Player
Overwatch 2,55.,South Africa,"$1,250.00",2 Players
Overwatch 2,56.,United Arab Emirates,"$1,238.10",2 Players
Overwatch 2,57.,Kuwait,"$1,208.34",3 Players
Overwatch 2,58.,Viet Nam,"$1,149.40",1 Player
Overwatch 2,59.,Trinidad and Tobago,$944.04,1 Player
Overwatch 2,60.,Egypt,$875.00,1 Player
Overwatch 2,61.,Venezuela,$333.33,1 Player
Overwatch 2,62.,El Salvador,$208.33,1 Player
Overwatch 2,63.,Kazakhstan,$101.60,2 Players
Overwatch 2,64.,Malta,$41.67,1 Player
