game,rank,country,earning,players
Overwatch,1.,"Korea, Republic of","$17,444,562.79",757 Players
Overwatch,2.,United States,"$3,540,916.35",496 Players
Overwatch,3.,China,"$3,019,245.67",503 Players
Overwatch,4.,Sweden,"$1,076,912.06",102 Players
Overwatch,5.,Finland,"$951,291.29",164 Players
Overwatch,6.,France,"$908,555.22",159 Players
Overwatch,7.,United Kingdom,"$753,700.57",139 Players
Overwatch,8.,Australia,"$698,582.77",185 Players
Overwatch,9.,Canada,"$582,297.95",79 Players
Overwatch,10.,"Taiwan, Republic of China","$565,588.62",67 Players
Overwatch,11.,Saudi Arabia,"$480,285.58",56 Players
Overwatch,12.,Brazil,"$421,270.27",145 Players
Overwatch,13.,Denmark,"$363,750.95",60 Players
Overwatch,14.,Japan,"$358,664.42",80 Players
Overwatch,15.,Thailand,"$265,141.13",72 Players
Overwatch,16.,Russian Federation,"$260,750.76",32 Players
Overwatch,17.,Germany,"$250,908.92",49 Players
Overwatch,18.,Spain,"$215,105.24",67 Players
Overwatch,19.,Netherlands,"$199,170.69",43 Players
Overwatch,20.,Norway,"$137,020.21",41 Players
Overwatch,21.,Israel,"$119,450.97",16 Players
Overwatch,22.,Argentina,"$107,797.43",43 Players
Overwatch,23.,Iceland,"$102,284.60",11 Players
Overwatch,24.,Singapore,"$98,025.10",55 Players
Overwatch,25.,New Zealand,"$95,918.26",20 Players
Overwatch,26.,Belgium,"$86,370.40",12 Players
Overwatch,27.,Hong Kong,"$81,553.96",17 Players
Overwatch,28.,Portugal,"$71,624.78",61 Players
Overwatch,29.,Viet Nam,"$62,869.20",14 Players
Overwatch,30.,United Arab Emirates,"$57,635.37",22 Players
Overwatch,31.,Italy,"$56,590.40",48 Players
Overwatch,32.,Austria,"$55,325.05",36 Players
Overwatch,33.,Switzerland,"$47,493.41",16 Players
Overwatch,34.,Kuwait,"$44,702.09",21 Players
Overwatch,35.,Latvia,"$40,022.31",10 Players
Overwatch,36.,Romania,"$38,950.51",12 Players
Overwatch,37.,Mexico,"$38,855.62",17 Players
Overwatch,38.,Estonia,"$36,145.90",14 Players
Overwatch,39.,Poland,"$34,904.68",52 Players
Overwatch,40.,Czech Republic,"$33,918.98",30 Players
Overwatch,41.,Chile,"$33,422.85",22 Players
Overwatch,42.,Puerto Rico,"$28,867.44",1 Player
Overwatch,43.,Ireland,"$25,799.26",18 Players
Overwatch,44.,Ethiopia,"$23,669.95",1 Player
Overwatch,45.,Dominican Republic,"$23,070.79",1 Player
Overwatch,46.,Turkey,"$19,194.42",12 Players
Overwatch,47.,Jordan,"$17,936.62",3 Players
Overwatch,48.,Ukraine,"$13,998.26",5 Players
Overwatch,49.,Lebanon,"$13,207.39",3 Players
Overwatch,50.,Egypt,"$11,423.61",2 Players
Overwatch,51.,Colombia,"$8,579.73",9 Players
Overwatch,52.,India,"$7,941.37",9 Players
Overwatch,53.,Bulgaria,"$7,820.61",7 Players
Overwatch,54.,South Africa,"$7,641.21",20 Players
Overwatch,55.,Peru,"$7,185.27",3 Players
Overwatch,56.,Uruguay,"$6,528.62",4 Players
Overwatch,57.,Philippines,"$6,190.89",6 Players
Overwatch,58.,Belarus,"$6,094.19",4 Players
Overwatch,59.,Croatia,"$5,798.80",17 Players
Overwatch,60.,Paraguay,"$5,054.97",8 Players
Overwatch,61.,Malta,"$3,473.66",24 Players
Overwatch,62.,Hungary,"$2,346.21",11 Players
Overwatch,63.,Pakistan,"$1,616.67",2 Players
Overwatch,64.,Trinidad and Tobago,"$1,514.78",2 Players
Overwatch,65.,Lithuania,"$1,512.91",2 Players
Overwatch,66.,Kenya,"$1,482.62",1 Player
Overwatch,67.,Venezuela,"$1,178.43",2 Players
Overwatch,68.,Serbia,"$1,170.26",2 Players
Overwatch,69.,Myanmar,$715.28,2 Players
Overwatch,70.,Malaysia,$607.58,14 Players
Overwatch,71.,Bangladesh,$437.50,1 Player
Overwatch,72.,Indonesia,$426.67,2 Players
Overwatch,73.,Syrian Arab Republic,$408.39,1 Player
Overwatch,74.,Greece,$275.18,2 Players
Overwatch,75.,Morocco,$249.61,1 Player
Overwatch,76.,Tunisia,$249.61,1 Player
Overwatch,77.,French Polynesia,$245.63,1 Player
Overwatch,78.,Iraq,$125.00,1 Player
Overwatch,79.,Slovakia,$82.24,4 Players
Overwatch,80.,Slovenia,$58.66,1 Player
