game,rank,country,earning,players
Paladins,1.,United States,"$650,310.56",89 Players
Paladins,2.,Finland,"$199,842.45",7 Players
Paladins,3.,Brazil,"$192,643.79",55 Players
Paladins,4.,Netherlands,"$158,455.39",7 Players
Paladins,5.,Australia,"$154,049.92",24 Players
Paladins,6.,Poland,"$124,189.55",34 Players
Paladins,7.,Bulgaria,"$108,294.38",5 Players
Paladins,8.,Sweden,"$100,819.53",8 Players
Paladins,9.,Russian Federation,"$79,314.93",112 Players
Paladins,10.,United Kingdom,"$58,901.10",16 Players
Paladins,11.,Argentina,"$56,233.40",18 Players
Paladins,12.,Denmark,"$55,813.87",3 Players
Paladins,13.,Norway,"$53,930.02",4 Players
Paladins,14.,China,"$50,000.00",12 Players
Paladins,15.,Estonia,"$47,617.91",2 Players
Paladins,16.,France,"$45,780.26",36 Players
Paladins,17.,"Korea, Republic of","$43,216.67",3 Players
Paladins,18.,Canada,"$40,363.27",12 Players
Paladins,19.,Italy,"$24,415.47",7 Players
Paladins,20.,Belgium,"$21,400.00",4 Players
Paladins,21.,Germany,"$18,126.66",10 Players
Paladins,22.,Portugal,"$17,652.12",3 Players
Paladins,23.,Peru,"$16,866.60",12 Players
Paladins,24.,Croatia,"$12,916.67",3 Players
Paladins,25.,Israel,"$11,430.79",2 Players
Paladins,26.,Uruguay,"$11,133.33",1 Player
Paladins,27.,Ukraine,"$7,900.82",8 Players
Paladins,28.,Indonesia,"$6,800.01",18 Players
Paladins,29.,Czech Republic,"$5,700.00",5 Players
Paladins,30.,Japan,"$5,000.00",1 Player
Paladins,31.,Serbia,"$2,620.00",2 Players
Paladins,32.,Spain,"$2,288.33",10 Players
Paladins,33.,Chile,"$2,000.00",3 Players
Paladins,34.,Ireland,"$1,990.35",2 Players
Paladins,35.,Philippines,"$1,750.00",3 Players
Paladins,36.,Switzerland,"$1,718.40",1 Player
Paladins,37.,Romania,"$1,215.98",3 Players
Paladins,38.,Singapore,"$1,100.00",1 Player
Paladins,39.,Colombia,$800.00,5 Players
Paladins,40.,Malaysia,$733.34,4 Players
Paladins,41.,Latvia,$650.00,1 Player
Paladins,42.,Austria,$600.00,1 Player
Paladins,43.,Egypt,$450.00,2 Players
Paladins,44.,Venezuela,$400.00,2 Players
Paladins,45.,Kazakhstan,$293.33,2 Players
Paladins,46.,Belarus,$281.67,2 Players
Paladins,47.,--UNDEFINED--,$250.00,1 Player
Paladins,48.,Azerbaijan,$200.00,1 Player
Paladins,49.,Guatemala,$200.00,1 Player
Paladins,50.,Bangladesh,$100.00,1 Player
Paladins,51.,Hungary,$100.00,1 Player
Paladins,52.,India,$100.00,1 Player
Paladins,53.,Lithuania,$100.00,1 Player
Paladins,54.,"Moldova, Republic of",$100.00,1 Player
Paladins,55.,Turkey,$100.00,1 Player
