game,rank,country,earning,players
Point Blank,1.,Thailand,"$551,041.81",63 Players
Point Blank,2.,Indonesia,"$406,946.96",116 Players
Point Blank,3.,Russian Federation,"$306,636.26",139 Players
Point Blank,4.,Brazil,"$180,544.83",51 Players
Point Blank,5.,Ukraine,"$26,381.94",17 Players
Point Blank,6.,Azerbaijan,"$23,756.40",22 Players
Point Blank,7.,Philippines,"$22,946.00",28 Players
Point Blank,8.,Turkey,"$19,799.98",25 Players
Point Blank,9.,Peru,"$8,000.00",16 Players
Point Blank,10.,United States,"$8,000.00",7 Players
Point Blank,11.,"Korea, Republic of","$6,000.00",15 Players
Point Blank,12.,Venezuela,"$6,000.00",12 Players
Point Blank,13.,India,"$5,000.00",11 Players
Point Blank,14.,Singapore,"$4,999.98",9 Players
Point Blank,15.,"Taiwan, Republic of China","$3,000.00",10 Players
Point Blank,16.,Belarus,"$2,255.52",4 Players
Point Blank,17.,United Kingdom,"$1,400.00",2 Players
Point Blank,18.,Portugal,"$1,400.00",2 Players
Point Blank,19.,Italy,$800.00,2 Players
Point Blank,20.,Romania,$800.00,2 Players
Point Blank,21.,Netherlands,$600.00,1 Player
Point Blank,22.,"Moldova, Republic of",$376.00,1 Player
Point Blank,23.,Germany,$15.30,1 Player
