game,rank,country,earning,players
Quake 4,1.,Sweden,"$232,475.67",23 Players
Quake 4,2.,United States,"$97,279.27",28 Players
Quake 4,3.,Russian Federation,"$58,343.39",18 Players
Quake 4,4.,Poland,"$34,276.74",5 Players
Quake 4,5.,Italy,"$26,300.00",3 Players
Quake 4,6.,United Kingdom,"$24,636.86",10 Players
Quake 4,7.,Belarus,"$22,790.05",2 Players
Quake 4,8.,France,"$17,697.33",2 Players
Quake 4,9.,Netherlands,"$12,687.92",4 Players
Quake 4,10.,China,"$6,905.66",3 Players
Quake 4,11.,Ukraine,"$5,177.87",3 Players
Quake 4,12.,Germany,"$4,729.43",3 Players
Quake 4,13.,Australia,"$4,687.50",1 Player
Quake 4,14.,Canada,"$4,612.50",3 Players
Quake 4,15.,Finland,"$1,146.07",4 Players
Quake 4,16.,South Africa,$770.71,5 Players
Quake 4,17.,Norway,$588.62,2 Players
Quake 4,18.,Venezuela,$200.00,1 Player
Quake 4,19.,Spain,$150.00,1 Player
