game,rank,country,earning,players
Quake Champions,1.,United States,"$912,610.15",155 Players
Quake Champions,2.,Belarus,"$323,936.29",2 Players
Quake Champions,3.,Russian Federation,"$262,429.38",40 Players
Quake Champions,4.,Sweden,"$262,087.43",4 Players
Quake Champions,5.,Netherlands,"$159,685.00",4 Players
Quake Champions,6.,Hungary,"$152,097.02",1 Player
Quake Champions,7.,Germany,"$140,155.37",2 Players
Quake Champions,8.,Italy,"$137,297.47",5 Players
Quake Champions,9.,Ukraine,"$131,653.04",1 Player
Quake Champions,10.,United Kingdom,"$127,551.98",12 Players
Quake Champions,11.,Canada,"$126,107.74",17 Players
Quake Champions,12.,Poland,"$124,884.18",12 Players
Quake Champions,13.,Australia,"$100,390.74",30 Players
Quake Champions,14.,Austria,"$76,275.00",1 Player
Quake Champions,15.,Argentina,"$48,078.07",19 Players
Quake Champions,16.,Brazil,"$44,239.83",7 Players
Quake Champions,17.,France,"$43,834.78",5 Players
Quake Champions,18.,Estonia,"$41,582.95",1 Player
Quake Champions,19.,Serbia,"$13,872.48",3 Players
Quake Champions,20.,Czech Republic,"$13,803.81",2 Players
Quake Champions,21.,Portugal,"$10,375.00",3 Players
Quake Champions,22.,Latvia,"$7,402.50",1 Player
Quake Champions,23.,Denmark,"$4,662.94",6 Players
Quake Champions,24.,Kazakhstan,"$3,395.00",1 Player
Quake Champions,25.,Chile,"$1,499.86",5 Players
Quake Champions,26.,South Africa,"$1,303.70",4 Players
Quake Champions,27.,Spain,$823.52,6 Players
Quake Champions,28.,Mexico,$467.50,1 Player
Quake Champions,29.,Finland,$434.53,6 Players
Quake Champions,30.,Switzerland,$112.45,1 Player
Quake Champions,31.,--UNDEFINED--,$89.39,3 Players
Quake Champions,32.,Lithuania,$20.00,2 Players
