game,rank,country,earning,players
Quake III Arena,1.,United States,"$537,675.91",120 Players
Quake III Arena,2.,Sweden,"$167,432.12",38 Players
Quake III Arena,3.,Russian Federation,"$162,121.52",68 Players
Quake III Arena,4.,United Kingdom,"$44,669.46",13 Players
Quake III Arena,5.,Germany,"$34,888.92",18 Players
Quake III Arena,6.,Canada,"$30,870.00",13 Players
Quake III Arena,7.,France,"$27,960.44",11 Players
Quake III Arena,8.,China,"$27,127.90",5 Players
Quake III Arena,9.,Belarus,"$27,104.38",9 Players
Quake III Arena,10.,"Korea, Republic of","$13,975.30",3 Players
Quake III Arena,11.,Spain,"$10,727.37",3 Players
Quake III Arena,12.,Australia,"$10,135.30",4 Players
Quake III Arena,13.,Poland,"$9,570.30",3 Players
Quake III Arena,14.,Ukraine,"$4,554.35",5 Players
Quake III Arena,15.,Brazil,"$2,039.67",6 Players
Quake III Arena,16.,Netherlands,"$1,624.30",1 Player
Quake III Arena,17.,Belgium,"$1,556.75",2 Players
Quake III Arena,18.,Venezuela,"$1,300.00",2 Players
Quake III Arena,19.,South Africa,"$1,300.00",2 Players
Quake III Arena,20.,Denmark,"$1,120.60",5 Players
Quake III Arena,21.,Austria,$940.32,1 Player
Quake III Arena,22.,Hungary,$927.74,2 Players
Quake III Arena,23.,Turkey,$750.00,1 Player
Quake III Arena,24.,Norway,$600.61,1 Player
Quake III Arena,25.,Cuba,$585.58,1 Player
Quake III Arena,26.,New Zealand,$500.00,1 Player
Quake III Arena,27.,Croatia,$438.17,1 Player
Quake III Arena,28.,Ireland,$408.23,1 Player
Quake III Arena,29.,Singapore,$400.00,1 Player
Quake III Arena,30.,Estonia,$390.38,1 Player
Quake III Arena,31.,Northern Mariana Islands,$300.00,1 Player
Quake III Arena,32.,Finland,$230.18,2 Players
Quake III Arena,33.,Argentina,$205.84,1 Player
Quake III Arena,34.,Lithuania,$100.00,1 Player
Quake III Arena,35.,Czech Republic,$53.42,1 Player
