game,rank,country,earning,players
Quake Live,1.,United States,"$237,881.12",70 Players
Quake Live,2.,Belarus,"$104,242.27",7 Players
Quake Live,3.,Russian Federation,"$80,860.14",11 Players
Quake Live,4.,Sweden,"$50,329.50",9 Players
Quake Live,5.,France,"$47,874.61",9 Players
Quake Live,6.,Poland,"$32,983.31",16 Players
Quake Live,7.,Germany,"$22,734.62",17 Players
Quake Live,8.,Italy,"$19,658.48",6 Players
Quake Live,9.,Canada,"$17,582.04",14 Players
Quake Live,10.,Netherlands,"$11,864.15",7 Players
Quake Live,11.,Australia,"$9,200.56",13 Players
Quake Live,12.,Czech Republic,"$7,018.00",10 Players
Quake Live,13.,Austria,"$6,817.64",1 Player
Quake Live,14.,United Kingdom,"$4,204.49",6 Players
Quake Live,15.,Norway,"$3,486.04",6 Players
Quake Live,16.,China,"$3,083.43",1 Player
Quake Live,17.,Hungary,"$2,000.00",1 Player
Quake Live,18.,Belgium,"$1,779.69",3 Players
Quake Live,19.,Finland,"$1,700.00",1 Player
Quake Live,20.,Lithuania,$986.71,1 Player
Quake Live,21.,Ukraine,$738.46,6 Players
Quake Live,22.,Japan,$700.00,2 Players
Quake Live,23.,Ireland,$647.62,2 Players
Quake Live,24.,Slovakia,$597.66,1 Player
Quake Live,25.,India,$250.00,1 Player
Quake Live,26.,Spain,$200.62,1 Player
Quake Live,27.,New Zealand,$181.39,4 Players
Quake Live,28.,Malaysia,$150.00,1 Player
Quake Live,29.,"Taiwan, Republic of China",$150.00,1 Player
Quake Live,30.,Estonia,$36.75,1 Player
Quake Live,31.,Bulgaria,$21.19,1 Player
Quake Live,32.,Singapore,$17.88,1 Player
Quake Live,33.,Peru,$13.37,1 Player
Quake Live,34.,Kazakhstan,$13.27,1 Player
