game,rank,country,earning,players
QuakeWorld,1.,United States,"$60,125.00",41 Players
QuakeWorld,2.,Sweden,"$19,581.31",13 Players
QuakeWorld,3.,Australia,"$7,250.00",2 Players
QuakeWorld,4.,Norway,"$6,505.66",3 Players
QuakeWorld,5.,Finland,"$6,055.09",1 Player
QuakeWorld,6.,Brazil,"$2,042.00",3 Players
QuakeWorld,7.,Canada,$458.00,1 Player
QuakeWorld,8.,Germany,$115.12,1 Player
QuakeWorld,9.,Ireland,$106.40,2 Players
QuakeWorld,10.,France,$45.36,1 Player
QuakeWorld,11.,Russian Federation,$37.00,1 Player
