game,rank,country,earning,players
Rainbow Six Siege,1.,Brazil,"$9,113,168.33",278 Players
Rainbow Six Siege,2.,United States,"$7,312,266.79",369 Players
Rainbow Six Siege,3.,France,"$3,541,617.09",192 Players
Rainbow Six Siege,4.,Saudi Arabia,"$2,179,738.76",99 Players
Rainbow Six Siege,5.,Japan,"$1,986,183.98",198 Players
Rainbow Six Siege,6.,Russian Federation,"$1,733,180.37",73 Players
Rainbow Six Siege,7.,United Kingdom,"$1,465,496.22",150 Players
Rainbow Six Siege,8.,"Korea, Republic of","$1,432,303.82",159 Players
Rainbow Six Siege,9.,Australia,"$1,291,383.27",149 Players
Rainbow Six Siege,10.,Canada,"$1,171,189.30",129 Players
Rainbow Six Siege,11.,Finland,"$1,118,290.15",73 Players
Rainbow Six Siege,12.,Germany,"$809,130.16",136 Players
Rainbow Six Siege,13.,Sweden,"$657,955.76",32 Players
Rainbow Six Siege,14.,Mexico,"$636,496.90",54 Players
Rainbow Six Siege,15.,Denmark,"$628,701.38",17 Players
Rainbow Six Siege,16.,Thailand,"$610,910.83",58 Players
Rainbow Six Siege,17.,Spain,"$439,284.52",87 Players
Rainbow Six Siege,18.,Singapore,"$320,072.75",34 Players
Rainbow Six Siege,19.,"Taiwan, Republic of China","$219,483.33",37 Players
Rainbow Six Siege,20.,Jordan,"$206,719.51",5 Players
Rainbow Six Siege,21.,Estonia,"$170,964.23",2 Players
Rainbow Six Siege,22.,Switzerland,"$163,869.36",23 Players
Rainbow Six Siege,23.,Belgium,"$161,058.24",31 Players
Rainbow Six Siege,24.,Kuwait,"$157,265.90",8 Players
Rainbow Six Siege,25.,Netherlands,"$142,297.28",76 Players
Rainbow Six Siege,26.,Poland,"$137,820.60",67 Players
Rainbow Six Siege,27.,Argentina,"$135,930.59",39 Players
Rainbow Six Siege,28.,Italy,"$133,473.85",36 Players
Rainbow Six Siege,29.,Indonesia,"$122,462.25",35 Players
Rainbow Six Siege,30.,Croatia,"$102,378.30",7 Players
Rainbow Six Siege,31.,Turkey,"$84,860.51",22 Players
Rainbow Six Siege,32.,India,"$70,848.58",34 Players
Rainbow Six Siege,33.,Hungary,"$69,114.15",16 Players
Rainbow Six Siege,34.,China,"$67,429.78",9 Players
Rainbow Six Siege,35.,New Zealand,"$57,533.15",11 Players
Rainbow Six Siege,36.,Lebanon,"$53,697.70",2 Players
Rainbow Six Siege,37.,Iraq,"$42,616.10",7 Players
Rainbow Six Siege,38.,Chile,"$38,592.96",14 Players
Rainbow Six Siege,39.,Bangladesh,"$36,245.21",10 Players
Rainbow Six Siege,40.,Pakistan,"$28,419.20",15 Players
Rainbow Six Siege,41.,Egypt,"$25,081.02",11 Players
Rainbow Six Siege,42.,Bulgaria,"$16,686.47",1 Player
Rainbow Six Siege,43.,Austria,"$15,953.27",25 Players
Rainbow Six Siege,44.,Portugal,"$13,276.14",7 Players
Rainbow Six Siege,45.,Czech Republic,"$11,010.20",8 Players
Rainbow Six Siege,46.,Sri Lanka,"$10,547.62",6 Players
Rainbow Six Siege,47.,Malaysia,"$9,355.06",9 Players
Rainbow Six Siege,48.,Luxembourg,"$6,694.65",1 Player
Rainbow Six Siege,49.,Uruguay,"$6,416.67",5 Players
Rainbow Six Siege,50.,Cuba,"$5,653.33",1 Player
Rainbow Six Siege,51.,Slovakia,"$4,805.39",2 Players
Rainbow Six Siege,52.,Ireland,"$4,796.57",4 Players
Rainbow Six Siege,53.,Norway,"$4,373.10",7 Players
Rainbow Six Siege,54.,Paraguay,"$4,159.62",1 Player
Rainbow Six Siege,55.,Puerto Rico,"$4,050.00",3 Players
Rainbow Six Siege,56.,Venezuela,"$3,962.16",2 Players
Rainbow Six Siege,57.,Hong Kong,"$3,780.00",8 Players
Rainbow Six Siege,58.,Belarus,"$3,339.20",1 Player
Rainbow Six Siege,59.,Viet Nam,"$2,770.00",2 Players
Rainbow Six Siege,60.,Latvia,"$2,311.01",2 Players
Rainbow Six Siege,61.,Greece,"$2,052.06",5 Players
Rainbow Six Siege,62.,American Samoa,"$1,750.00",1 Player
Rainbow Six Siege,63.,Costa Rica,"$1,413.48",1 Player
Rainbow Six Siege,64.,Slovenia,"$1,190.96",1 Player
Rainbow Six Siege,65.,Kazakhstan,$845.97,1 Player
Rainbow Six Siege,66.,Ukraine,$770.50,4 Players
Rainbow Six Siege,67.,Macao,$770.00,2 Players
Rainbow Six Siege,68.,Morocco,$700.00,1 Player
Rainbow Six Siege,69.,Peru,$600.00,1 Player
Rainbow Six Siege,70.,South Africa,$491.67,1 Player
Rainbow Six Siege,71.,Tunisia,$452.32,1 Player
Rainbow Six Siege,72.,Serbia,$35.45,1 Player
