game,rank,country,earning,players
Realm Royale,1.,United States,"$208,250.00",35 Players
Realm Royale,2.,Sweden,"$16,250.00",3 Players
Realm Royale,3.,Canada,"$13,625.00",4 Players
Realm Royale,4.,Russian Federation,"$11,875.00",3 Players
Realm Royale,5.,Switzerland,"$7,125.00",1 Player
Realm Royale,6.,Italy,"$3,125.00",1 Player
Realm Royale,7.,France,"$1,250.00",2 Players
Realm Royale,8.,Denmark,$625.00,1 Player
Realm Royale,9.,Netherlands,$625.00,1 Player
Realm Royale,10.,Finland,$250.00,1 Player
