game,rank,country,earning,players
S.K.I.L.L. - Special Force 2,1.,Germany,"$25,836.34",15 Players
S.K.I.L.L. - Special Force 2,2.,Sweden,"$16,281.86",7 Players
S.K.I.L.L. - Special Force 2,3.,Thailand,"$13,500.00",10 Players
S.K.I.L.L. - Special Force 2,4.,Belgium,"$12,726.96",2 Players
S.K.I.L.L. - Special Force 2,5.,Netherlands,"$8,385.35",11 Players
S.K.I.L.L. - Special Force 2,6.,Japan,"$7,974.00",17 Players
S.K.I.L.L. - Special Force 2,7.,Croatia,"$7,692.25",1 Player
S.K.I.L.L. - Special Force 2,8.,Slovakia,"$4,068.01",1 Player
S.K.I.L.L. - Special Force 2,9.,Portugal,"$2,786.78",3 Players
S.K.I.L.L. - Special Force 2,10.,France,"$1,983.21",3 Players
S.K.I.L.L. - Special Force 2,11.,Italy,"$1,740.40",5 Players
S.K.I.L.L. - Special Force 2,12.,"Korea, Republic of","$1,500.00",5 Players
S.K.I.L.L. - Special Force 2,13.,Spain,"$1,235.80",5 Players
S.K.I.L.L. - Special Force 2,14.,Russian Federation,$932.97,2 Players
S.K.I.L.L. - Special Force 2,15.,Poland,$622.93,2 Players
S.K.I.L.L. - Special Force 2,16.,Norway,$622.75,2 Players
S.K.I.L.L. - Special Force 2,17.,Israel,$314.64,2 Players
S.K.I.L.L. - Special Force 2,18.,Egypt,$258.59,1 Player
S.K.I.L.L. - Special Force 2,19.,Bulgaria,$247.16,1 Player
S.K.I.L.L. - Special Force 2,20.,United Kingdom,$11.43,1 Player
S.K.I.L.L. - Special Force 2,21.,Austria,$11.21,1 Player
