game,rank,country,earning,players
ShootMania Storm,1.,France,"$104,686.77",42 Players
ShootMania Storm,2.,United States,"$39,166.73",25 Players
ShootMania Storm,3.,Sweden,"$27,971.55",10 Players
ShootMania Storm,4.,Netherlands,"$27,782.25",3 Players
ShootMania Storm,5.,Italy,"$17,000.00",1 Player
ShootMania Storm,6.,Canada,"$9,166.68",4 Players
ShootMania Storm,7.,Switzerland,"$4,000.00",1 Player
ShootMania Storm,8.,Germany,"$2,797.32",12 Players
ShootMania Storm,9.,United Kingdom,"$1,948.92",1 Player
ShootMania Storm,10.,Norway,"$1,116.91",3 Players
ShootMania Storm,11.,Portugal,"$1,041.60",4 Players
ShootMania Storm,12.,Poland,$932.65,1 Player
ShootMania Storm,13.,Russian Federation,$145.44,1 Player
