game,rank,country,earning,players
Team Fortress 2,1.,United States,"$351,924.74",747 Players
Team Fortress 2,2.,United Kingdom,"$77,293.02",121 Players
Team Fortress 2,3.,Canada,"$66,445.52",104 Players
Team Fortress 2,4.,Finland,"$43,051.59",61 Players
Team Fortress 2,5.,Sweden,"$29,260.79",37 Players
Team Fortress 2,6.,France,"$25,064.64",65 Players
Team Fortress 2,7.,Germany,"$17,772.79",41 Players
Team Fortress 2,8.,Denmark,"$10,638.18",10 Players
Team Fortress 2,9.,Australia,"$8,538.09",47 Players
Team Fortress 2,10.,Netherlands,"$7,897.66",14 Players
Team Fortress 2,11.,Belgium,"$5,939.07",13 Players
Team Fortress 2,12.,Russian Federation,"$4,548.03",37 Players
Team Fortress 2,13.,Spain,"$3,708.58",5 Players
Team Fortress 2,14.,Portugal,"$3,497.92",5 Players
Team Fortress 2,15.,Iceland,"$2,556.00",2 Players
Team Fortress 2,16.,Latvia,"$2,515.04",5 Players
Team Fortress 2,17.,Lithuania,"$2,103.43",6 Players
Team Fortress 2,18.,Ireland,"$1,982.15",9 Players
Team Fortress 2,19.,Slovakia,"$1,885.79",3 Players
Team Fortress 2,20.,Poland,"$1,884.80",7 Players
Team Fortress 2,21.,Austria,"$1,057.24",2 Players
Team Fortress 2,22.,Italy,$795.30,2 Players
Team Fortress 2,23.,Czech Republic,$563.73,2 Players
Team Fortress 2,24.,Norway,$416.86,3 Players
Team Fortress 2,25.,Ukraine,$408.48,6 Players
Team Fortress 2,26.,Israel,$313.53,3 Players
Team Fortress 2,27.,Belarus,$187.06,1 Player
Team Fortress 2,28.,Luxembourg,$167.87,1 Player
Team Fortress 2,29.,Hungary,$139.29,2 Players
Team Fortress 2,30.,Mexico,$116.66,3 Players
Team Fortress 2,31.,Romania,$107.03,1 Player
Team Fortress 2,32.,Switzerland,$98.69,1 Player
Team Fortress 2,33.,Panama,$47.50,1 Player
Team Fortress 2,34.,Brazil,$41.67,1 Player
Team Fortress 2,35.,Bulgaria,$33.83,1 Player
Team Fortress 2,36.,Argentina,$10.00,1 Player
