game,rank,country,earning,players
Unreal Tournament 2004,1.,Germany,"$53,028.20",18 Players
Unreal Tournament 2004,2.,Netherlands,"$47,571.90",9 Players
Unreal Tournament 2004,3.,Austria,"$10,229.54",7 Players
Unreal Tournament 2004,4.,Russian Federation,"$9,741.81",14 Players
Unreal Tournament 2004,5.,Italy,"$8,735.23",2 Players
Unreal Tournament 2004,6.,France,"$6,000.00",1 Player
Unreal Tournament 2004,7.,Ukraine,"$5,000.00",1 Player
Unreal Tournament 2004,8.,United States,"$2,500.00",4 Players
Unreal Tournament 2004,9.,Sweden,$482.40,1 Player
Unreal Tournament 2004,10.,United Kingdom,$390.52,5 Players
