game,rank,country,earning,players
Unreal Tournament,1.,Germany,"$40,000.00",1 Player
Unreal Tournament,2.,Netherlands,"$10,250.00",2 Players
Unreal Tournament,3.,United Kingdom,"$10,000.00",1 Player
Unreal Tournament,4.,United States,"$10,000.00",1 Player
Unreal Tournament,5.,"Korea, Republic of","$5,000.00",1 Player
Unreal Tournament,6.,New Zealand,"$5,000.00",1 Player
Unreal Tournament,7.,France,"$3,750.00",3 Players
Unreal Tournament,8.,Italy,"$3,000.00",2 Players
Unreal Tournament,9.,Austria,"$1,000.00",1 Player
Unreal Tournament,10.,Portugal,"$1,000.00",1 Player
