game,rank,country,earning,players
VALORANT,1.,United States,"$3,638,843.00",966 Players
VALORANT,2.,Brazil,"$1,617,888.72",303 Players
VALORANT,3.,"Korea, Republic of","$1,552,773.93",231 Players
VALORANT,4.,Russian Federation,"$1,343,876.84",204 Players
VALORANT,5.,Canada,"$1,122,804.25",187 Players
VALORANT,6.,Turkey,"$1,073,202.65",245 Players
VALORANT,7.,United Kingdom,"$741,682.58",128 Players
VALORANT,8.,Thailand,"$631,465.63",199 Players
VALORANT,9.,Sweden,"$580,113.26",82 Players
VALORANT,10.,Japan,"$562,077.41",161 Players
VALORANT,11.,Indonesia,"$561,376.93",187 Players
VALORANT,12.,Chile,"$559,182.76",76 Players
VALORANT,13.,Finland,"$489,123.16",46 Players
VALORANT,14.,Poland,"$460,563.99",209 Players
VALORANT,15.,France,"$438,507.03",179 Players
VALORANT,16.,Philippines,"$425,152.08",234 Players
VALORANT,17.,Singapore,"$400,229.92",110 Players
VALORANT,18.,India,"$379,163.04",147 Players
VALORANT,19.,Argentina,"$355,145.84",46 Players
VALORANT,20.,Spain,"$349,117.34",161 Players
VALORANT,21.,Viet Nam,"$292,150.95",217 Players
VALORANT,22.,Germany,"$242,567.68",201 Players
VALORANT,23.,Denmark,"$199,310.99",44 Players
VALORANT,24.,Belgium,"$196,694.56",22 Players
VALORANT,25.,Lithuania,"$180,789.38",23 Players
VALORANT,26.,Australia,"$179,323.56",107 Players
VALORANT,27.,Malaysia,"$163,658.33",99 Players
VALORANT,28.,Colombia,"$157,014.39",40 Players
VALORANT,29.,Saudi Arabia,"$155,211.07",74 Players
VALORANT,30.,China,"$153,541.46",98 Players
VALORANT,31.,Latvia,"$146,626.02",10 Players
VALORANT,32.,"Taiwan, Republic of China","$141,824.36",134 Players
VALORANT,33.,Egypt,"$139,526.87",47 Players
VALORANT,34.,Ukraine,"$122,767.45",20 Players
VALORANT,35.,Czech Republic,"$122,637.09",66 Players
VALORANT,36.,Portugal,"$111,331.85",88 Players
VALORANT,37.,Belarus,"$67,157.08",15 Players
VALORANT,38.,Netherlands,"$64,673.99",20 Players
VALORANT,39.,Cambodia,"$60,906.67",6 Players
VALORANT,40.,Morocco,"$53,063.35",45 Players
VALORANT,41.,Hong Kong,"$53,003.27",57 Players
VALORANT,42.,Croatia,"$49,859.62",19 Players
VALORANT,43.,Hungary,"$49,357.10",43 Players
VALORANT,44.,Bahrain,"$44,739.97",4 Players
VALORANT,45.,Mexico,"$44,703.77",49 Players
VALORANT,46.,United Arab Emirates,"$42,534.34",24 Players
VALORANT,47.,Norway,"$38,694.08",23 Players
VALORANT,48.,Pakistan,"$37,719.45",28 Players
VALORANT,49.,Jordan,"$37,698.55",14 Players
VALORANT,50.,Kazakhstan,"$30,349.52",6 Players
VALORANT,51.,Serbia,"$29,164.12",36 Players
VALORANT,52.,Lebanon,"$26,353.32",9 Players
VALORANT,53.,Italy,"$25,197.60",35 Players
VALORANT,54.,Dominican Republic,"$21,138.87",10 Players
VALORANT,55.,Tunisia,"$20,868.75",17 Players
VALORANT,56.,Kuwait,"$20,550.00",25 Players
VALORANT,57.,New Zealand,"$17,625.43",11 Players
VALORANT,58.,Israel,"$17,181.32",14 Players
VALORANT,59.,Algeria,"$16,900.76",22 Players
VALORANT,60.,Mongolia,"$16,489.89",30 Players
VALORANT,61.,Greece,"$13,502.85",20 Players
VALORANT,62.,Austria,"$12,419.18",19 Players
VALORANT,63.,Guatemala,"$12,226.70",8 Players
VALORANT,64.,Costa Rica,"$11,726.61",3 Players
VALORANT,65.,Qatar,"$9,524.33",3 Players
VALORANT,66.,Bulgaria,"$9,042.26",8 Players
VALORANT,67.,Syrian Arab Republic,"$8,645.43",6 Players
VALORANT,68.,Switzerland,"$7,718.93",12 Players
VALORANT,69.,Ireland,"$7,443.02",6 Players
VALORANT,70.,Estonia,"$7,163.42",12 Players
VALORANT,71.,Puerto Rico,"$7,017.42",3 Players
VALORANT,72.,Romania,"$6,900.56",15 Players
VALORANT,73.,"Iran, Islamic Republic of","$6,734.82",4 Players
VALORANT,74.,Lao People's Democratic Republic,"$5,594.92",7 Players
VALORANT,75.,Slovenia,"$5,373.45",15 Players
VALORANT,76.,Venezuela,"$5,103.96",7 Players
VALORANT,77.,Brunei Darussalam,"$4,910.17",27 Players
VALORANT,78.,Iceland,"$4,799.00",12 Players
VALORANT,79.,North Macedonia,"$4,750.84",11 Players
VALORANT,80.,Sri Lanka,"$4,366.20",1 Player
VALORANT,81.,South Africa,"$3,668.61",22 Players
VALORANT,82.,"Palestine, State of","$3,054.00",1 Player
VALORANT,83.,Slovakia,"$2,362.90",11 Players
VALORANT,84.,Bosnia and Herzegovina,"$2,155.14",8 Players
VALORANT,85.,Cuba,"$1,900.00",3 Players
VALORANT,86.,Albania,"$1,872.77",7 Players
VALORANT,87.,"Kosovo, Republic of","$1,404.00",12 Players
VALORANT,88.,Iraq,"$1,196.00",8 Players
VALORANT,89.,Azerbaijan,"$1,000.00",1 Player
VALORANT,90.,Ecuador,$950.07,6 Players
VALORANT,91.,Bangladesh,$660.27,2 Players
VALORANT,92.,Panama,$550.00,3 Players
VALORANT,93.,Macao,$463.54,3 Players
VALORANT,94.,Honduras,$400.00,2 Players
VALORANT,95.,"Moldova, Republic of",$353.26,3 Players
VALORANT,96.,Luxembourg,$294.97,1 Player
VALORANT,97.,Botswana,$233.33,1 Player
VALORANT,98.,Mozambique,$206.00,1 Player
