game,rank,country,earning,players
Wolfenstein Enemy Territory,1.,Estonia,"$49,392.32",14 Players
Wolfenstein Enemy Territory,2.,Germany,"$17,786.44",19 Players
Wolfenstein Enemy Territory,3.,United States,"$15,000.02",7 Players
Wolfenstein Enemy Territory,4.,Netherlands,"$9,232.51",23 Players
Wolfenstein Enemy Territory,5.,Finland,"$8,159.73",22 Players
Wolfenstein Enemy Territory,6.,Sweden,"$6,924.13",8 Players
Wolfenstein Enemy Territory,7.,Slovenia,"$6,084.68",1 Player
Wolfenstein Enemy Territory,8.,Belgium,"$5,701.39",12 Players
Wolfenstein Enemy Territory,9.,Austria,"$4,875.49",3 Players
Wolfenstein Enemy Territory,10.,Poland,"$3,886.76",13 Players
Wolfenstein Enemy Territory,11.,United Kingdom,"$2,507.31",9 Players
Wolfenstein Enemy Territory,12.,Spain,"$2,489.65",2 Players
Wolfenstein Enemy Territory,13.,Latvia,"$2,322.35",1 Player
Wolfenstein Enemy Territory,14.,Switzerland,"$2,301.39",4 Players
Wolfenstein Enemy Territory,15.,Italy,"$1,870.09",1 Player
Wolfenstein Enemy Territory,16.,Croatia,$788.63,3 Players
Wolfenstein Enemy Territory,17.,Malta,$387.51,1 Player
Wolfenstein Enemy Territory,18.,Turkey,$322.36,1 Player
Wolfenstein Enemy Territory,19.,Ireland,$258.68,1 Player
Wolfenstein Enemy Territory,20.,Hungary,$158.45,2 Players
Wolfenstein Enemy Territory,21.,Denmark,$58.45,1 Player
Wolfenstein Enemy Territory,22.,Norway,$58.24,2 Players
Wolfenstein Enemy Territory,23.,France,$51.90,2 Players
