game,rank,country,earning,players
Xonotic,1.,Netherlands,"$5,899.24",6 Players
Xonotic,2.,Serbia,"$2,503.14",5 Players
Xonotic,3.,Germany,"$2,077.37",25 Players
Xonotic,4.,Finland,"$1,237.53",5 Players
Xonotic,5.,Slovakia,"$1,049.05",3 Players
Xonotic,6.,United Kingdom,$888.35,6 Players
Xonotic,7.,Russian Federation,$464.48,15 Players
Xonotic,8.,Poland,$278.91,5 Players
Xonotic,9.,United States,$181.69,13 Players
Xonotic,10.,Italy,$131.86,8 Players
Xonotic,11.,France,$39.95,3 Players
Xonotic,12.,Ukraine,$35.22,3 Players
Xonotic,13.,South Africa,$32.62,1 Player
Xonotic,14.,Sweden,$32.20,4 Players
Xonotic,15.,Australia,$30.00,1 Player
Xonotic,16.,Norway,$27.29,1 Player
Xonotic,17.,Spain,$23.37,3 Players
Xonotic,18.,Czech Republic,$2.78,4 Players
Xonotic,19.,Canada,$0.00,1 Player
Xonotic,20.,Croatia,$0.00,1 Player
Xonotic,21.,Hungary,$0.00,1 Player
Xonotic,22.,Israel,$0.00,1 Player
