Country,BattleRoyale,CollectibleCardGame,FPS,FightingGame,MOBA,Music,Puzzle,RPG,Racing,Sports,Strategy,TPS
--UNDEFINED--,29.333333333333332,39.0,34.0,17.0,40.0,25.0,31.0,4.0,79.5,55.0,78.0,13.5
Afghanistan,80.0,22.75,36.0,17.0,61.0,75.0,79.0,51.0,53.0,55.0,78.0,13.5
Albania,80.0,49.2,36.0,17.0,52.0,60.333333333333336,72.5,30.0,58.0,55.0,60.0,13.5
Algeria,55.0,61.333333333333336,36.0,17.0,25.0,52.666666666666664,56.25,39.0,38.0,55.0,78.0,13.5
American Samoa,80.0,62.0,36.0,17.0,61.0,75.0,106.0,51.0,109.0,55.0,78.0,13.5
Andorra,80.0,114.0,36.0,17.0,42.0,62.0,102.0,49.0,109.0,55.0,78.0,13.5
Angola,80.0,114.0,36.0,17.0,61.0,75.0,106.0,51.0,103.0,55.0,78.0,13.5
Argentina,23.0,24.4375,36.0,17.0,16.733333333333334,21.894736842105264,23.125,19.714285714285715,17.6,43.0,10.692307692307692,13.5
Armenia,80.0,102.0,36.0,17.0,13.0,21.428571428571427,45.666666666666664,51.0,95.0,55.0,16.0,13.5
Aruba,80.0,114.0,36.0,17.0,20.0,22.0,103.0,51.0,67.0,55.0,78.0,13.5
Australia,20.0,8.475,6.0,6.0,10.135135135135135,19.285714285714285,14.666666666666666,9.533333333333333,7.0,6.0,10.411764705882353,8.0
Austria,21.25,21.64,15.333333333333334,12.0,12.1,23.133333333333333,29.285714285714285,14.214285714285714,46.0,55.0,19.454545454545453,12.0
Azerbaijan,52.5,52.0,36.0,17.0,7.0,7.0,91.0,51.0,70.5,55.0,78.0,13.5
Bahamas,20.0,114.0,36.0,17.0,61.0,75.0,106.0,51.0,109.0,55.0,78.0,13.5
Bahrain,62.0,72.5,36.0,17.0,15.714285714285714,52.0,82.0,51.0,34.0,48.0,39.0,13.5
Bangladesh,80.0,69.4,36.0,17.0,25.0,40.0,85.0,51.0,27.5,54.0,62.0,13.5
Belarus,27.75,25.473684210526315,23.0,17.0,59.0,26.692307692307693,32.5,31.0,37.4,55.0,78.0,13.5
Belgium,22.2,13.404761904761905,18.0,15.0,21.25,26.142857142857142,31.666666666666668,12.928571428571429,33.857142857142854,40.0,18.25,13.5
Belize,80.0,114.0,36.0,17.0,61.0,75.0,106.0,51.0,108.0,55.0,78.0,13.5
Bermuda,80.0,114.0,36.0,17.0,61.0,75.0,93.0,51.0,109.0,55.0,78.0,13.5
Bolivia,29.0,113.0,36.0,17.0,17.0,37.857142857142854,42.5,51.0,68.0,55.0,77.0,13.5
Bosnia and Herzegovina,74.0,30.6,36.0,17.0,61.0,44.666666666666664,74.0,51.0,42.2,55.0,78.0,13.5
Botswana,80.0,97.0,36.0,17.0,61.0,75.0,106.0,51.0,109.0,55.0,78.0,13.5
Brazil,12.777777777777779,12.375,24.0,2.0,8.5,14.538461538461538,11.416666666666666,12.666666666666666,7.6,4.666666666666667,5.2727272727272725,13.5
Brunei Darussalam,80.0,84.5,36.0,17.0,61.0,51.5,46.0,51.0,73.5,55.0,53.0,13.5
Bulgaria,32.5,24.0,28.0,17.0,23.666666666666668,28.857142857142858,22.25,30.2,74.25,55.0,19.916666666666668,13.5
Cambodia,80.0,65.0,36.0,17.0,58.0,75.0,37.5,51.0,56.5,55.0,78.0,13.5
Canada,10.545454545454545,5.380281690140845,6.25,3.0,5.204081632653061,9.885714285714286,12.6875,8.866666666666667,8.8,6.0,8.409090909090908,6.166666666666667
Chile,22.142857142857142,32.18181818181818,30.0,17.0,14.142857142857142,24.307692307692307,34.625,24.375,32.0,12.0,23.666666666666668,13.5
China,9.5,9.0,7.5,17.0,8.533333333333333,5.260869565217392,2.3,12.0,10.8,3.5,11.416666666666666,13.5
