Country,BattleRoyale,CollectibleCardGame,FPS,FightingGame,MOBA,Music,Puzzle,RPG,Racing,Sports,Strategy,TPS
--UNDEFINED--,50.66666666666667,75.0,2.0,0.0,21.0,50.0,75.0,47.0,29.5,0.0,0.0,0.0
Afghanistan,0.0,91.25,0.0,0.0,0.0,0.0,27.0,0.0,56.0,0.0,0.0,0.0
Albania,0.0,64.8,0.0,0.0,9.0,14.666666666666664,33.5,21.0,51.0,0.0,18.0,0.0
Algeria,25.0,52.666666666666664,0.0,0.0,36.0,22.333333333333343,49.75,12.0,71.0,0.0,0.0,0.0
American Samoa,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,19.0,13.0,4.0,2.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Argentina,57.0,89.5625,0.0,0.0,44.266666666666666,53.10526315789474,82.875,31.285714285714285,91.4,12.0,67.3076923076923,0.0
Armenia,0.0,12.0,0.0,0.0,48.0,53.57142857142857,60.33333333333334,0.0,14.0,0.0,62.0,0.0
Aruba,0.0,0.0,0.0,0.0,41.0,53.0,3.0,0.0,42.0,0.0,0.0,0.0
Australia,60.0,105.525,30.0,11.0,50.86486486486486,55.714285714285715,91.33333333333333,41.46666666666667,102.0,49.0,67.58823529411765,5.5
Austria,58.75,92.36,20.666666666666664,5.0,48.9,51.86666666666667,76.71428571428572,36.785714285714285,63.0,0.0,58.54545454545455,1.5
Azerbaijan,27.5,62.0,0.0,0.0,54.0,68.0,15.0,0.0,38.5,0.0,0.0,0.0
Bahamas,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,18.0,41.5,0.0,0.0,45.285714285714285,23.0,24.0,0.0,75.0,7.0,39.0,0.0
Bangladesh,0.0,44.599999999999994,0.0,0.0,36.0,35.0,21.0,0.0,81.5,1.0,16.0,0.0
Belarus,52.25,88.52631578947368,13.0,0.0,2.0,48.30769230769231,73.5,20.0,71.6,0.0,0.0,0.0
Belgium,57.8,100.5952380952381,18.0,2.0,39.75,48.85714285714286,74.33333333333333,38.07142857142857,75.14285714285714,15.0,59.75,0.0
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
Bolivia,51.0,1.0,0.0,0.0,44.0,37.14285714285715,63.5,0.0,41.0,0.0,1.0,0.0
Bosnia and Herzegovina,6.0,83.4,0.0,0.0,0.0,30.333333333333343,32.0,0.0,66.8,0.0,0.0,0.0
Botswana,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,67.22222222222221,101.625,12.0,15.0,52.5,60.46153846153846,94.58333333333333,38.333333333333336,101.4,50.333333333333336,72.72727272727273,0.0
Brunei Darussalam,0.0,29.5,0.0,0.0,0.0,23.5,60.0,0.0,35.5,0.0,25.0,0.0
Bulgaria,47.5,90.0,8.0,0.0,37.33333333333333,46.14285714285714,83.75,20.8,34.75,0.0,58.08333333333333,0.0
Cambodia,0.0,49.0,0.0,0.0,3.0,0.0,68.5,0.0,52.5,0.0,0.0,0.0
Canada,69.45454545454545,108.61971830985915,29.75,14.0,55.79591836734694,65.11428571428571,93.3125,42.13333333333333,100.2,49.0,69.5909090909091,7.333333333333333
Chile,57.85714285714286,81.81818181818181,6.0,0.0,46.85714285714286,50.69230769230769,71.375,26.625,77.0,43.0,54.33333333333333,0.0
China,70.5,105.0,28.5,0.0,52.46666666666667,69.73913043478261,103.7,39.0,98.2,51.5,66.58333333333333,0.0
Colombia,47.5,81.66666666666666,0.0,9.0,29.857142857142858,41.27272727272727,62.166666666666664,23.66666666666667,68.4,0.0,52.1,3.5
Costa Rica,34.0,45.5,0.0,4.0,46.27272727272727,31.6,61.666666666666664,0.0,45.0,0.0,18.5,0.0
Croatia,41.0,87.92857142857143,15.0,0.0,55.5,46.92857142857143,78.25,31.583333333333332,76.33333333333334,0.0,43.166666666666664,0.0
Cuba,10.0,50.25,0.0,0.0,0.0,49.2,35.0,41.0,57.666666666666664,0.0,0.0,0.0
Cyprus,5.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,50.0,0.0,0.0,0.0
Czech Republic,65.14285714285714,90.90476190476191,4.0,0.0,35.75,49.89473684210526,71.66666666666666,39.8125,67.6,8.0,45.5,0.0
Côte D'Ivoire,0.0,0.0,0.0,0.0,31.333333333333332,52.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,59.75,102.48484848484848,27.0,0.0,41.55555555555556,54.06666666666666,93.72727272727273,41.25,100.25,36.5,70.92307692307692,6.5
Dominican Republic,0.0,63.8,0.0,0.0,47.705882352941174,31.25,67.5,9.0,71.33333333333334,0.0,38.0,0.0
Ecuador,0.0,63.57142857142857,0.0,0.0,35.0,31.0,56.75,0.0,36.0,0.0,24.666666666666664,0.0
Egypt,46.5,66.77777777777777,0.0,0.0,16.5,51.285714285714285,71.25,0.0,64.0,11.0,47.6,0.0
El Salvador,64.0,52.0,0.0,0.0,0.0,38.33333333333334,21.0,0.0,7.0,0.0,0.0,0.0
Estonia,46.0,96.08695652173913,0.0,0.0,0.0,29.6,76.28571428571428,33.30769230769231,54.5,20.0,42.0,0.0
Ethiopia,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faroe Islands,0.0,68.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0
Finland,60.625,102.78571428571429,28.0,8.0,46.54545454545455,55.57142857142857,85.44444444444444,43.24,93.0,38.5,64.3125,0.0
France,71.7,106.95454545454545,31.333333333333332,14.0,54.9,66.21875,93.08333333333333,46.38709677419355,93.875,51.0,73.23529411764706,9.0
French Polynesia,0.0,37.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
