Country,Battle Royale,Collection Cards,FPS,Fighting,MOBA,Music,Puzzle,RPG,Racing,Sports,Strategy,TPS
Argentina,0.7382053654024052,0.7992370158843477,0.0,0.0,0.7419987286292616,0.7446982991914188,0.7991803278688524,0.6561797752808989,0.8859450726978999,0.22388059701492538,0.8949880668257757,0.0
Australia,0.7770582793709528,0.9416830269498483,0.8955223880597015,0.6875,0.8525978553078823,0.781284779415038,0.8807457409193185,0.8697128589263421,0.9886914378029079,0.914179104477612,0.8987184372555705,0.44
Brazil,0.8705930722581972,0.9068802427271104,0.3582089552238806,0.9375,0.8800060222824451,0.8478557902054318,0.9120861459337832,0.8039950062421972,0.982875605815832,0.9390547263681592,0.9670520410377214,0.0
Bulgaria,0.6151711378353377,0.8031411743708727,0.23880597014925373,0.0,0.6257820602897386,0.6470640609001468,0.8076181292189006,0.43625468164794007,0.3368336025848142,0.0,0.7723320831912717,0.0
Canada,0.8995038264233455,0.9692996458134852,0.8880597014925373,0.875,0.9352522701341904,0.9131015447624983,0.899831243972999,0.8836953807740324,0.9712439418416801,0.914179104477612,0.9253479217679695,0.5866666666666667
Chile,0.7493061979648474,0.730128340337157,0.1791044776119403,0.0,0.7854203409758966,0.7108612795742743,0.6882835101253616,0.5584269662921348,0.7463651050080775,0.8022388059701492,0.7224684623252642,0.0
China,0.9130434782608696,0.9369980367660182,0.8507462686567164,0.0,0.8794472883000435,0.9779560204316663,1.0,0.8179775280898876,0.9518578352180936,0.960820895522388,0.8853562904875554,0.0
Croatia,0.5309898242368178,0.7846561790877337,0.44776119402985076,0.0,0.9302920806985847,0.6580821795842051,0.7545805207328833,0.662421972534332,0.7399030694668821,0.0,0.5739856801909308,0.0
Denmark,0.7738205365402406,0.9145533507482463,0.8059701492537313,0.0,0.6965550313939354,0.7581801184169522,0.9038309809765933,0.8651685393258427,0.9717285945072698,0.6809701492537313,0.9430617115581316,0.52
Egypt,0.6022201665124884,0.5959109207369068,0.0,0.0,0.27657332128876844,0.7191826559230734,0.6870781099324975,0.0,0.6203554119547657,0.2052238805970149,0.6329355608591886,0.0
Finland,0.7851526364477336,0.9172382142219729,0.835820895522388,0.5,0.7801958154261678,0.7792814851088455,0.8239579984999464,0.9069063670411985,0.901453957996769,0.7182835820895522,0.8551610978520287,0.0
France,0.9285846438482888,0.9544399915629613,0.9353233830845771,0.875,0.9202348690153568,0.9285895138672483,0.8976213436194149,0.9729128911441344,0.909935379644588,0.9514925373134329,0.9738071839714406,0.72
Germany,0.9454209065679927,0.9493761982348166,1.0,0.4375,0.8946129249652285,0.9631839024173083,0.9241401478624236,0.9911456832805147,0.9111470113085621,0.9701492537313433,1.0,0.52
Israel,0.6630897317298798,0.8001665774287584,0.6268656716417911,0.0,0.6313694001137543,0.6015892801495792,0.7184185149469624,0.1887640449438202,0.5201938610662358,0.48507462686567165,0.7529406750767133,0.0
India,0.47918593894542094,0.7268833254912141,0.9253731343283582,1.0,0.6656916304612782,0.8233539598450785,0.6075216972034715,0.34257178526841453,0.678513731825525,0.0,0.6870098874872145,0.0
Indonesia,0.6242368177613322,0.7739360407573864,0.0,0.875,0.563622904747566,0.6029915861639139,0.798457087753134,0.5662921348314607,0.8917609046849757,0.708955223880597,0.8152062734401636,0.0
Italy,0.8327474560592044,0.8752751502171455,0.746268656716418,1.0,0.7886971267373493,0.771268307884076,0.7360977177756348,0.8767041198501871,0.6760904684975767,0.5597014925373134,0.9148312308216843,0.36
Japan,0.9425429129406928,0.8749033255993813,0.9701492537313433,0.9270833333333334,0.980127547193433,0.8541872722099528,0.823529411764706,0.8284644194756554,0.9693053311793215,0.876865671641791,0.8614534119136916,0.0
Kazakhstan,0.7641073080481037,0.7207677205892448,0.0,0.0,0.8800060222824451,0.7023215955126206,0.7714561234329798,0.35655430711610486,0.5990306946688206,0.0,0.7230225025571088,0.0
Morocco,0.8418131359851989,0.6717180731101845,0.5074626865671642,0.0,0.6896373725642018,0.41368027422873166,0.6846673095467695,0.5243445692883895,0.7754442649434572,0.3544776119402985,0.6559836345039208,0.0
Mexico,0.6756090040086341,0.8249548852797113,0.3283582089552239,0.78125,0.8562598280303791,0.7547705900683739,0.7123915139826422,0.7886142322097378,0.8391414724209554,0.0,0.8580975110808046,0.88
Netherlands,0.7851526364477336,0.9364031173775953,0.6666666666666667,0.75,0.8246913580246914,0.8463918443662912,0.8448928121059268,0.9687265917602996,0.7487883683360258,0.7742537313432836,0.9285714285714285,0.0
Norway,0.7485661424606845,0.8625401570587186,0.5671641791044776,0.875,0.8176140609142717,0.7972109691492676,0.8486017357762777,0.7375780274656678,0.9369951534733441,0.503731343283582,0.7047391749062394,0.52
