Country,BattleRoyale,CollectibleCardGame,FPS,FightingGame,MOBA,Music,Puzzle,RPG,Racing,Sports,Strategy,TPS
Afghanistan,0.0,0.8142959129038015,0.0,0.0,0.0,0.0,0.26036644165863065,0.0,0.5428109854604201,0.0,0.0,0.0
Albania,0.0,0.5782616455470283,0.0,0.0,0.15085817524841916,0.2056715487690869,0.32304725168756027,0.4404494382022472,0.49434571890145396,0.0,0.239345380156836,0.0
Algeria,0.32377428307123035,0.4699863168540662,0.0,0.0,0.6034327009936766,0.31318167653474616,0.47974927675988427,0.251685393258427,0.6882067851373183,0.0,0.0,0.0
American Samoa,0.0,0.46403712296983757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.3184783699688849,0.18229978186350887,0.03857280617164899,0.04194756554307116,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058158319870759284,0.0,0.0,0.0
Argentina,0.7382053654024052,0.7992370158843477,0.0,0.0,0.7419987286292616,0.7446982991914188,0.7991803278688524,0.6561797752808989,0.8859450726978999,0.22388059701492538,0.8949880668257757,0.0
Armenia,0.0,0.10708548991611637,0.0,0.0,0.8045769346582354,0.7512353648221519,0.581806493089039,0.0,0.13570274636510501,0.0,0.8244118649846573,0.0
Aruba,0.0,0.0,0.0,0.0,0.6872427983539094,0.7432221875973823,0.02892960462873674,0.0,0.407108239095315,0.0,0.0,0.0
Australia,0.7770582793709528,0.9416830269498483,0.8955223880597015,0.6875,0.8525978553078823,0.781284779415038,0.8807457409193185,0.8697128589263421,0.9886914378029079,0.914179104477612,0.8987184372555705,0.44
Austria,0.7608695652173914,0.8242013207210422,0.6169154228855721,0.3125,0.8196627521830774,0.7273293861015893,0.739771318363411,0.7715355805243446,0.6106623586429725,0.0,0.7784768930353656,0.12
Azerbaijan,0.3561517113783534,0.5532750312332679,0.0,0.0,0.9051490514905149,0.9535680897475849,0.1446480231436837,0.0,0.37318255250403876,0.0,0.0,0.0
Bahamas,0.7770582793709528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,0.23311748381128586,0.37033731929323577,0.0,0.0,0.7590800246626804,0.3225303832969772,0.23143683702989393,0.0,0.7269789983844911,0.13059701492537312,0.518581657006478,0.0
Bangladesh,0.0,0.3980010708548991,0.0,0.0,0.6034327009936766,0.49080710501713926,0.20250723240115717,0.0,0.7899838449111469,0.018656716417910446,0.21275144902829868,0.0
Belarus,0.6766882516188715,0.7899903247320514,0.3880597014925373,0.0,0.03352403894409314,0.6774216746170625,0.7087753134040501,0.4194756554307116,0.6940226171243941,0.0,0.0,0.0
Belgium,0.7485661424606845,0.8976908628880788,0.5373134328358209,0.125,0.6662902740138512,0.6851266527178026,0.7168113146898103,0.7985018726591759,0.7283637202861758,0.2798507462686567,0.7944936924650529,0.0
