Country,BattleRoyale,CollectibleCardGame,FPS,FightingGame,MOBA,Music,Puzzle,RPG,Racing,Sports,Strategy,TPS
Brazil,12.777777777777779,12.375,24.0,2.0,8.5,14.538461538461538,11.416666666666666,12.666666666666666,7.6,4.666666666666667,5.2727272727272725,13.5
China,9.5,9.0,7.5,17.0,8.533333333333333,5.260869565217392,2.3,12.0,10.8,3.5,11.416666666666666,13.5
Denmark,20.25,11.515151515151516,9.0,17.0,19.444444444444443,20.933333333333334,12.272727272727273,9.75,8.75,18.5,7.076923076923077,7.0
France,8.3,7.045454545454546,4.666666666666667,3.0,6.1,8.78125,12.916666666666666,4.612903225806452,15.125,4.0,4.764705882352941,4.5
Germany,7.0,7.612903225806452,2.5,10.0,7.628571428571429,6.314285714285714,10.166666666666666,3.7435897435897436,15.0,3.0,2.7948717948717947,7.0
India,43.0,32.54545454545455,5.0,1.0,21.285714285714285,16.285714285714285,43.0,34.666666666666664,39.0,55.0,26.333333333333332,13.5
Indonesia,31.8,27.272727272727273,36.0,3.0,27.375,32.0,23.2,24.0,17.0,17.0,16.692307692307693,13.5
Japan,7.222222222222222,15.958333333333334,3.5,2.1666666666666665,2.5268817204301075,14.08695652173913,20.6,11.5,9.0,8.0,13.214285714285714,13.5
South Korea,14.555555555555555,13.85,2.6666666666666665,5.25,7.823529411764706,5.105263157894737,11.166666666666666,9.285714285714286,7.666666666666667,2.0,15.2,13.5
Nigeria,80.0,114.0,36.0,17.0,61.0,75.0,106.0,51.0,62.0,55.0,78.0,13.5
Pakistan,80.0,54.6,36.0,17.0,9.444444444444445,35.333333333333336,50.0,51.0,34.0,55.0,78.0,13.5
Russian Federation,9.818181818181818,7.225,9.0,17.0,15.631578947368421,8.04,10.529411764705882,13.6,7.0,16.0,17.38888888888889,8.0
Turkey,22.75,17.142857142857142,36.0,17.0,29.75,24.6875,19.6,18.0,18.857142857142858,33.0,21.23076923076923,13.5
United States,2.7857142857142856,1.94,2.875,1.4,1.341317365269461,3.688888888888889,3.4,4.6923076923076925,5.833333333333333,1.4,2.9347826086956523,1.0
