Game Genre,Country,Ranking
Battle Royale,Mexico,50.0
Battle Royale,Italy,50.0
Battle Royale,Denmark,50.0
Battle Royale,Australia,50.0
Battle Royale,Puerto Rico,50.0
Battle Royale,"Korea, Republic of",50.0
Battle Royale,Latvia,50.0
Battle Royale,Sweden,50.0
Battle Royale,Hungary,50.0
Battle Royale,Spain,50.0
Battle Royale,Thailand,50.0
Battle Royale,"Taiwan, Republic of China",50.0
Battle Royale,Saudi Arabia,50.0
Battle Royale,Netherlands,50.0
Battle Royale,Finland,50.0
Battle Royale,India,50.0
Battle Royale,Philippines,50.0
Battle Royale,Jordan,50.0
Battle Royale,Azerbaijan,50.0
Battle Royale,Croatia,50.0
Battle Royale,Viet Nam,50.0
Battle Royale,Indonesia,50.0
Battle Royale,Malaysia,50.0
Battle Royale,United States,1.0
Battle Royale,Germany,2.0
Battle Royale,Japan,3.0
Battle Royale,France,4.0
Battle Royale,China,5.0
Battle Royale,Russian Federation,6.0
Battle Royale,Canada,7.0
Battle Royale,United Kingdom,8.0
Battle Royale,Brazil,9.0
Battle Royale,Poland,10.0
Collection Cards,Mexico,50.0
Collection Cards,Italy,50.0
Collection Cards,Denmark,50.0
Collection Cards,Puerto Rico,50.0
Collection Cards,"Korea, Republic of",50.0
Collection Cards,Latvia,50.0
Collection Cards,Brazil,50.0
Collection Cards,Hungary,50.0
Collection Cards,Spain,50.0
Collection Cards,Poland,50.0
Collection Cards,Thailand,50.0
Collection Cards,"Taiwan, Republic of China",50.0
Collection Cards,Saudi Arabia,50.0
Collection Cards,Finland,50.0
Collection Cards,India,50.0
Collection Cards,Japan,50.0
Collection Cards,Philippines,50.0
Collection Cards,Jordan,50.0
Collection Cards,Azerbaijan,50.0
Collection Cards,Croatia,50.0
Collection Cards,Viet Nam,50.0
Collection Cards,Indonesia,50.0
Collection Cards,Malaysia,50.0
Collection Cards,United States,1.0
Collection Cards,Canada,2.0
Collection Cards,United Kingdom,3.0
Collection Cards,France,4.0
Collection Cards,Russian Federation,5.0
Collection Cards,Sweden,6.0
Collection Cards,Germany,7.0
Collection Cards,Australia,8.0
Collection Cards,China,9.0
Collection Cards,Netherlands,10.0
FPS,Mexico,50.0
FPS,Italy,50.0
FPS,Denmark,50.0
FPS,Russian Federation,50.0
FPS,Canada,50.0
FPS,Australia,50.0
FPS,Puerto Rico,50.0
FPS,Latvia,50.0
FPS,Sweden,50.0
FPS,Brazil,50.0
FPS,Hungary,50.0
FPS,Spain,50.0
FPS,"Taiwan, Republic of China",50.0
FPS,Saudi Arabia,50.0
FPS,Netherlands,50.0
FPS,United Kingdom,50.0
FPS,Finland,50.0
FPS,China,50.0
FPS,Jordan,50.0
FPS,Azerbaijan,50.0
FPS,Croatia,50.0
FPS,Indonesia,50.0
FPS,Malaysia,50.0
FPS,Germany,1.0
FPS,"Korea, Republic of",2.0
FPS,United States,3.0
FPS,Poland,4.0
FPS,Japan,5.0
FPS,Philippines,6.0
FPS,Viet Nam,7.0
FPS,France,8.0
FPS,India,9.0
FPS,Thailand,10.0
Fighting Game,Mexico,50.0
Fighting Game,Denmark,50.0
Fighting Game,Russian Federation,50.0
Fighting Game,Australia,50.0
Fighting Game,Puerto Rico,50.0
Fighting Game,"Korea, Republic of",50.0
Fighting Game,Sweden,50.0
Fighting Game,Hungary,50.0
Fighting Game,Germany,50.0
Fighting Game,Spain,50.0
Fighting Game,Poland,50.0
Fighting Game,Thailand,50.0
Fighting Game,"Taiwan, Republic of China",50.0
Fighting Game,Saudi Arabia,50.0
Fighting Game,Netherlands,50.0
Fighting Game,United Kingdom,50.0
Fighting Game,Finland,50.0
Fighting Game,China,50.0
Fighting Game,Philippines,50.0
Fighting Game,Jordan,50.0
Fighting Game,Azerbaijan,50.0
Fighting Game,Croatia,50.0
Fighting Game,Viet Nam,50.0
Fighting Game,India,1.0
Fighting Game,Italy,2.0
Fighting Game,United States,3.0
Fighting Game,Brazil,4.0
Fighting Game,Japan,5.0
Fighting Game,Canada,6.0
Fighting Game,France,7.0
Fighting Game,Indonesia,8.0
Fighting Game,Latvia,9.0
Fighting Game,Malaysia,10.0
MOBA,Mexico,50.0
MOBA,Italy,50.0
MOBA,Denmark,50.0
MOBA,Russian Federation,50.0
MOBA,Australia,50.0
MOBA,Puerto Rico,50.0
MOBA,Latvia,50.0
MOBA,Sweden,50.0
MOBA,Hungary,50.0
MOBA,Spain,50.0
MOBA,Poland,50.0
MOBA,Thailand,50.0
MOBA,"Taiwan, Republic of China",50.0
MOBA,Saudi Arabia,50.0
MOBA,Netherlands,50.0
MOBA,Finland,50.0
MOBA,China,50.0
MOBA,India,50.0
MOBA,Philippines,50.0
MOBA,Jordan,50.0
MOBA,Viet Nam,50.0
MOBA,Indonesia,50.0
MOBA,Malaysia,50.0
MOBA,United States,1.0
MOBA,Japan,2.0
MOBA,United Kingdom,3.0
MOBA,Canada,4.0
MOBA,Croatia,5.0
MOBA,France,6.0
MOBA,Azerbaijan,7.0
MOBA,Germany,8.0
MOBA,"Korea, Republic of",9.0
MOBA,Brazil,10.0
Music,Mexico,50.0
Music,Italy,50.0
Music,Denmark,50.0
Music,Australia,50.0
Music,Puerto Rico,50.0
Music,Latvia,50.0
Music,Sweden,50.0
Music,Brazil,50.0
Music,Hungary,50.0
Music,Spain,50.0
Music,Poland,50.0
Music,Thailand,50.0
Music,"Taiwan, Republic of China",50.0
Music,Saudi Arabia,50.0
