rank,country,earning,players
1.,"Korea, Republic of","$188,213.44",49 Players
2.,United States,"$176,229.30",183 Players
3.,Germany,"$121,587.86",68 Players
4.,Russian Federation,"$119,991.22",45 Players
5.,Sweden,"$104,950.36",58 Players
6.,Canada,"$63,866.68",30 Players
7.,France,"$30,619.97",16 Players
8.,Norway,"$28,235.00",10 Players
9.,Japan,"$26,500.00",4 Players
10.,United Kingdom,"$24,886.70",10 Players
11.,Netherlands,"$14,083.33",8 Players
12.,"Taiwan, Republic of China","$11,000.00",2 Players
13.,China,"$10,400.00",7 Players
14.,Spain,"$10,300.00",2 Players
15.,Denmark,"$7,114.06",18 Players
16.,Austria,"$5,093.89",4 Players
17.,Poland,"$5,033.33",2 Players
18.,New Zealand,"$5,000.00",1 Player
19.,Italy,"$4,500.00",1 Player
20.,Finland,"$4,244.80",6 Players
21.,Czech Republic,"$3,642.00",8 Players
22.,Brazil,"$3,536.60",21 Players
23.,Kazakhstan,"$3,500.00",10 Players
24.,Argentina,"$3,400.00",2 Players
25.,Australia,"$3,250.00",6 Players
26.,Hong Kong,"$1,750.00",1 Player
27.,Ukraine,"$1,750.00",1 Player
28.,Viet Nam,"$1,589.83",1 Player
29.,Chile,"$1,500.00",8 Players
30.,Singapore,"$1,250.00",5 Players
31.,Portugal,"$1,000.00",1 Player
32.,South Africa,"$1,000.00",1 Player
33.,Lithuania,$600.00,1 Player
34.,Israel,$300.00,1 Player
35.,Serbia,$300.00,1 Player
36.,Jamaica,$83.33,1 Player
37.,Bulgaria,$50.00,1 Player
