rank,country,earning,players,tournaments
1.,Dota 2,"$37,464,037.33",896 Players,153 Tournaments
2.,Counter-Strike: Global Offensive,"$17,268,045.48",4409 Players,863 Tournaments
3.,League of Legends,"$10,519,032.01",1664 Players,182 Tournaments
4.,Heroes of the Storm,"$4,664,349.10",394 Players,69 Tournaments
5.,Call of Duty: Black Ops III,"$3,862,185.84",371 Players,55 Tournaments
6.,Hearthstone,"$3,485,977.29",645 Players,143 Tournaments
7.,Halo 5: Guardians,"$3,412,490.03",176 Players,36 Tournaments
8.,StarCraft II,"$3,182,718.35",413 Players,650 Tournaments
9.,Overwatch,"$2,010,935.89",1234 Players,267 Tournaments
10.,SMITE,"$1,638,242.04",316 Players,21 Tournaments
11.,CrossFire,"$1,453,157.96",206 Players,22 Tournaments
12.,Street Fighter V,"$885,528.88",143 Players,63 Tournaments
13.,FIFA Online 3,"$835,082.40",54 Players,3 Tournaments
14.,Super Smash Bros. Melee,"$674,499.14",757 Players,750 Tournaments
15.,Gears of War 4,"$501,285.00",77 Players,16 Tournaments
16.,World of Tanks,"$482,000.00",38 Players,3 Tournaments
17.,World of WarCraft,"$453,000.00",72 Players,4 Tournaments
18.,Rocket League,"$449,905.76",370 Players,379 Tournaments
19.,Super Smash Bros. for Wii U,"$429,999.07",577 Players,283 Tournaments
20.,Vainglory,"$424,628.65",165 Players,21 Tournaments
21.,WarCraft III,"$420,383.19",94 Players,111 Tournaments
22.,Arena of Valor,"$358,329.50",25 Players,2 Tournaments
23.,Mortal Kombat X,"$330,129.99",45 Players,21 Tournaments
24.,Rainbow Six Siege,"$320,680.03",123 Players,26 Tournaments
25.,Guild Wars 2,"$300,000.00",100 Players,4 Tournaments
26.,H1Z1,"$267,244.00",18 Players,2 Tournaments
27.,Heroes of Newerth,"$246,433.55",98 Players,24 Tournaments
28.,Clash Royale,"$228,859.56",33 Players,7 Tournaments
29.,Point Blank,"$195,903.33",109 Players,10 Tournaments
30.,CrossFire Mobile,"$185,612.50",51 Players,1 Tournament
31.,Gears of War: Ultimate Edition,"$170,000.00",39 Players,3 Tournaments
32.,Attack on Titan Tribute Game,"$157,000.00",20 Players,10 Tournaments
33.,Blade & Soul,"$156,182.40",27 Players,2 Tournaments
34.,KartRider,"$144,234.00",19 Players,3 Tournaments
35.,MechWarrior Online,"$143,490.00",0 Players,1 Tournament
36.,Call of Duty: Infinite Warfare,"$125,020.99",56 Players,4 Tournaments
37.,Paladins,"$104,450.00",41 Players,3 Tournaments
38.,Magic: The Gathering Online,"$104,000.00",13 Players,1 Tournament
39.,Mortal Kombat XL,"$100,941.39",24 Players,7 Tournaments
40.,Madden NFL 2017,"$100,000.00",16 Players,1 Tournament
41.,FIFA 16,"$95,694.50",54 Players,18 Tournaments
42.,Brawlhalla,"$78,931.09",117 Players,68 Tournaments
43.,Team Fortress 2,"$78,899.83",226 Players,21 Tournaments
44.,Tekken 7,"$78,599.54",66 Players,16 Tournaments
45.,StarCraft: Brood War,"$75,767.76",32 Players,13 Tournaments
46.,Age of Empires,"$64,047.80",102 Players,22 Tournaments
47.,Age of Empires II,"$56,311.14",133 Players,40 Tournaments
48.,Killer Instinct (2013),"$55,479.59",44 Players,12 Tournaments
49.,Pokémon VGC,"$51,500.00",16 Players,1 Tournament
50.,Madden NFL 2016,"$50,000.00",8 Players,1 Tournament
51.,iRacing.com,"$47,319.88",134 Players,8 Tournaments
52.,Uncharted 4: A Thief's End,"$46,235.07",5 Players,1 Tournament
53.,Pokkén Tournament,"$40,381.66",38 Players,10 Tournaments
54.,Counter-Strike Online,"$40,000.00",15 Players,1 Tournament
55.,Old School Runescape,"$40,000.00",4 Players,4 Tournaments
56.,Forza Motorsport 6,"$39,850.00",34 Players,7 Tournaments
57.,Project M,"$38,048.66",162 Players,48 Tournaments
58.,Project Cars,"$33,455.00",30 Players,49 Tournaments
59.,Grey Goo,"$30,400.00",16 Players,2 Tournaments
60.,FIFA 17,"$30,305.99",17 Players,4 Tournaments
61.,Guilty Gear Xrd -REVELATOR-,"$28,899.49",47 Players,11 Tournaments
62.,Quake Live,"$28,002.76",14 Players,25 Tournaments
63.,Pro Evolution Soccer 2016,"$27,243.84",17 Players,6 Tournaments
64.,QuakeWorld,"$25,000.00",16 Players,1 Tournament
65.,Chess.com,"$23,859.98",81 Players,22 Tournaments
66.,Ultimate Marvel vs. Capcom 3,"$18,501.06",45 Players,25 Tournaments
67.,Super Smash Bros.,"$18,200.77",77 Players,33 Tournaments
68.,osu!,"$14,440.00",92 Players,5 Tournaments
69.,Battlerite,"$12,881.74",55 Players,38 Tournaments
70.,TrackMania 2: Stadium,"$12,386.52",29 Players,15 Tournaments
71.,Ultra Street Fighter IV,"$8,546.61",42 Players,15 Tournaments
72.,Metal Gear Online,"$8,000.00",37 Players,8 Tournaments
73.,Guilty Gear Xrd -SIGN-,"$7,110.00",25 Players,10 Tournaments
74.,Battlefield 4,"$6,070.68",40 Players,3 Tournaments
75.,Age of Mythology,"$5,655.96",23 Players,13 Tournaments
76.,King of Fighters XIV,"$5,318.49",19 Players,4 Tournaments
77.,Skullgirls Encore,"$5,240.00",15 Players,5 Tournaments
78.,rFactor 2,"$4,723.91",30 Players,1 Tournament
79.,Pro Evolution Soccer 2017,"$4,697.71",23 Players,11 Tournaments
80.,Super Smash Bros. Brawl,"$4,500.54",38 Players,13 Tournaments
81.,BlazBlue: Chronophantasma Extend,"$3,974.56",16 Players,6 Tournaments
82.,Under Night In-Birth EXE: Late,"$3,050.00",19 Players,7 Tournaments
83.,BlazBlue: Central Fiction,"$2,836.51",11 Players,2 Tournaments
84.,Tekken Tag Tournament 2,"$2,520.00",13 Players,4 Tournaments
85.,Age of Empires III,"$2,120.00",12 Players,6 Tournaments
86.,Naruto Shippuden: Ultimate Ninja Storm 4,"$2,000.00",0 Players,2 Tournaments
87.,Dead or Alive 5: Last Round,"$1,934.58",14 Players,5 Tournaments
88.,Call of Duty: Modern Warfare 2,"$1,700.00",12 Players,1 Tournament
89.,Skullgirls 2nd Encore,"$1,700.00",8 Players,1 Tournament
90.,Tetris,"$1,500.00",2 Players,1 Tournament
91.,Super Street Fighter II Turbo,"$1,459.72",17 Players,4 Tournaments
92.,Nitroplus Blasterz: Heroines Infinite Duel,"$1,380.00",5 Players,2 Tournaments
93.,Xonotic,"$1,283.15",42 Players,3 Tournaments
94.,Persona 4 Arena Ultimax,"$1,250.00",10 Players,4 Tournaments
95.,Unreal Tournament (2016),"$1,071.42",17 Players,3 Tournaments
96.,Vampire Savior,$918.74,9 Players,3 Tournaments
