rank,country,earning,players
1.,United States,"$6,677,753.65",631 Players
2.,Australia,"$1,265,300.60",95 Players
3.,Japan,"$1,233,629.24",221 Players
4.,"Korea, Republic of","$1,135,325.44",68 Players
5.,Brazil,"$649,844.55",114 Players
6.,United Kingdom,"$646,657.00",77 Players
7.,Russian Federation,"$599,422.02",77 Players
8.,Thailand,"$558,619.14",62 Players
9.,Canada,"$542,078.41",48 Players
10.,Sweden,"$443,275.87",44 Players
11.,France,"$365,159.69",71 Players
12.,Denmark,"$331,716.12",23 Players
13.,Indonesia,"$306,448.68",40 Players
14.,Germany,"$304,697.34",66 Players
15.,Portugal,"$234,413.64",8 Players
16.,China,"$209,947.50",71 Players
17.,"Taiwan, Republic of China","$181,987.32",99 Players
18.,Chile,"$170,712.48",25 Players
19.,Mexico,"$159,135.68",19 Players
20.,Belarus,"$156,802.27",6 Players
21.,Argentina,"$145,547.96",37 Players
22.,Turkey,"$140,807.34",43 Players
23.,Ukraine,"$139,421.10",6 Players
24.,Croatia,"$132,026.99",2 Players
25.,Finland,"$131,472.15",24 Players
26.,Poland,"$117,397.55",22 Players
27.,Spain,"$89,898.38",22 Players
28.,Norway,"$73,808.16",16 Players
29.,Italy,"$69,941.14",26 Players
30.,Iraq,"$44,816.90",1 Player
31.,Netherlands,"$41,458.59",23 Players
32.,Colombia,"$40,777.99",18 Players
33.,Ireland,"$38,682.60",6 Players
34.,Hong Kong,"$27,122.88",23 Players
35.,Czech Republic,"$25,447.77",10 Players
36.,Malaysia,"$21,674.66",8 Players
37.,South Africa,"$21,410.00",11 Players
38.,Slovenia,"$18,903.34",1 Player
39.,Austria,"$18,903.25",4 Players
40.,Saudi Arabia,"$18,626.67",11 Players
41.,Bosnia and Herzegovina,"$13,665.00",3 Players
42.,Singapore,"$11,423.44",10 Players
43.,Belgium,"$10,593.43",6 Players
44.,Peru,"$10,209.17",4 Players
45.,Switzerland,"$9,702.33",2 Players
46.,United Arab Emirates,"$8,243.33",4 Players
47.,Philippines,"$6,798.99",7 Players
48.,Hungary,"$5,650.00",5 Players
49.,Israel,"$4,490.00",4 Players
50.,Slovakia,"$4,126.33",2 Players
51.,Serbia,"$4,087.33",3 Players
52.,Latvia,"$4,070.00",2 Players
53.,Yemen,"$3,386.67",1 Player
54.,Puerto Rico,"$2,735.00",4 Players
55.,Lithuania,"$2,630.80",3 Players
56.,Tunisia,"$1,639.67",2 Players
57.,Greece,"$1,371.00",1 Player
58.,Pakistan,"$1,350.00",1 Player
59.,Cyprus,"$1,269.99",4 Players
60.,Egypt,"$1,040.00",3 Players
61.,New Zealand,$991.42,3 Players
62.,Malta,$971.00,1 Player
63.,India,$910.00,2 Players
64.,Venezuela,$750.00,1 Player
65.,"Iran, Islamic Republic of",$740.00,1 Player
66.,Kazakhstan,$600.00,2 Players
67.,Aruba,$380.00,1 Player
68.,Bulgaria,$375.00,1 Player
69.,Jordan,$330.00,1 Player
70.,Romania,$253.33,2 Players
71.,Jamaica,$200.00,1 Player
72.,--UNDEFINED--,$25.12,1 Player
