rank,country,earning,players
1.,United States,"$45,247,144.47",2595 Players
2.,United Kingdom,"$7,554,606.86",471 Players
3.,France,"$7,069,713.78",697 Players
4.,Denmark,"$6,367,421.38",258 Players
5.,Canada,"$6,054,461.87",219 Players
6.,Brazil,"$5,343,902.18",422 Players
7.,Germany,"$4,739,999.74",416 Players
8.,Sweden,"$4,150,992.59",259 Players
9.,Poland,"$3,684,884.37",243 Players
10.,Australia,"$3,351,415.55",539 Players
11.,Russian Federation,"$3,318,254.25",233 Players
12.,Netherlands,"$3,293,000.52",163 Players
13.,Austria,"$3,225,729.15",36 Players
14.,Norway,"$3,141,346.54",138 Players
15.,Japan,"$2,765,455.06",479 Players
16.,Argentina,"$2,187,477.03",142 Players
17.,Switzerland,"$1,675,825.75",61 Players
18.,Slovenia,"$1,567,324.41",28 Players
19.,Serbia,"$1,188,382.50",17 Players
20.,Saudi Arabia,"$1,143,536.66",169 Players
21.,"Korea, Republic of","$1,005,960.20",94 Players
22.,Spain,"$934,043.89",204 Players
23.,Mexico,"$901,951.02",92 Players
24.,Belgium,"$897,171.73",55 Players
25.,Finland,"$704,783.00",92 Players
26.,Latvia,"$697,004.72",7 Players
27.,New Zealand,"$672,524.80",48 Players
28.,Italy,"$565,214.99",120 Players
29.,Turkey,"$555,348.24",53 Players
30.,Ukraine,"$533,035.24",61 Players
31.,China,"$481,066.44",102 Players
32.,Czech Republic,"$272,753.90",44 Players
33.,Romania,"$248,755.00",24 Players
34.,Ireland,"$232,545.98",48 Players
35.,Belarus,"$221,748.74",7 Players
36.,Lithuania,"$191,956.26",13 Players
37.,Portugal,"$189,093.33",34 Players
38.,Croatia,"$165,506.00",7 Players
39.,Bahrain,"$154,275.00",21 Players
40.,United Arab Emirates,"$153,397.42",43 Players
41.,Indonesia,"$146,975.00",25 Players
42.,Dominican Republic,"$121,286.11",8 Players
43.,Cuba,"$114,230.00",3 Players
44.,Bosnia and Herzegovina,"$112,968.05",3 Players
45.,Pakistan,"$111,130.00",21 Players
46.,Israel,"$104,300.00",22 Players
47.,Kuwait,"$93,525.00",14 Players
48.,Estonia,"$82,458.00",10 Players
49.,Colombia,"$78,815.70",9 Players
50.,Philippines,"$78,676.40",12 Players
51.,Lebanon,"$68,752.44",7 Players
52.,Greece,"$64,725.00",13 Players
53.,Oman,"$64,100.00",10 Players
54.,Singapore,"$63,760.00",16 Players
55.,Hungary,"$57,400.00",11 Players
56.,Slovakia,"$56,240.00",9 Players
57.,Syrian Arab Republic,"$49,935.00",13 Players
58.,Panama,"$48,585.00",2 Players
59.,Chile,"$47,425.00",31 Players
60.,Luxembourg,"$39,333.20",2 Players
61.,Peru,"$32,484.11",8 Players
62.,Viet Nam,"$32,200.00",6 Players
63.,"Palestine, State of","$27,835.00",7 Players
64.,Iraq,"$27,785.00",2 Players
65.,Iceland,"$27,580.00",10 Players
66.,Jordan,"$27,150.00",12 Players
67.,Puerto Rico,"$24,500.00",5 Players
68.,Malaysia,"$19,100.00",8 Players
69.,Costa Rica,"$16,625.00",3 Players
70.,Malta,"$14,728.19",32 Players
71.,Qatar,"$14,625.00",17 Players
72.,Morocco,"$14,425.00",6 Players
73.,Algeria,"$14,225.00",2 Players
74.,Egypt,"$13,825.00",9 Players
75.,Albania,"$13,570.00",2 Players
76.,"Kosovo, Republic of","$12,399.45",1 Player
77.,India,"$10,260.00",11 Players
78.,Greenland,"$9,425.00",2 Players
79.,Thailand,"$9,000.00",6 Players
80.,Fiji,"$5,651.67",1 Player
81.,Paraguay,"$5,650.00",5 Players
82.,Tunisia,"$4,650.00",4 Players
83.,Bolivia,"$4,500.00",1 Player
84.,Uruguay,"$4,200.00",8 Players
85.,North Macedonia,"$3,835.00",2 Players
86.,--UNDEFINED--,"$2,800.00",7 Players
87.,"Iran, Islamic Republic of","$2,700.00",1 Player
88.,Yemen,"$2,500.00",1 Player
89.,Nepal,"$1,600.00",1 Player
90.,Trinidad and Tobago,"$1,500.00",1 Player
91.,Senegal,"$1,450.00",1 Player
92.,Bulgaria,"$1,358.00",3 Players
93.,Hong Kong,"$1,200.00",2 Players
94.,Azerbaijan,"$1,000.00",1 Player
95.,Ecuador,$950.00,2 Players
96.,Jamaica,$650.00,1 Player
97.,Gabon,$540.50,1 Player
98.,Brunei Darussalam,$444.00,2 Players
99.,Kazakhstan,$400.00,1 Player
100.,El Salvador,$300.00,1 Player
101.,Venezuela,$250.00,1 Player
