rank,country,earning,players
1.,Indonesia,"$3,650,043.57",421 Players
2.,Thailand,"$3,351,633.88",198 Players
3.,Brazil,"$2,488,703.77",218 Players
4.,Viet Nam,"$1,336,481.79",157 Players
5.,Malaysia,"$490,276.89",110 Players
6.,Russian Federation,"$372,524.00",24 Players
7.,Argentina,"$280,407.35",50 Players
8.,Portugal,"$248,800.00",21 Players
9.,India,"$242,245.36",62 Players
10.,"Taiwan, Republic of China","$216,283.87",33 Players
11.,Mexico,"$177,059.51",37 Players
12.,Pakistan,"$169,699.32",28 Players
13.,Colombia,"$152,907.41",26 Players
14.,Morocco,"$149,000.02",19 Players
15.,Ecuador,"$146,283.34",9 Players
16.,Philippines,"$137,957.13",44 Players
17.,Algeria,"$136,000.00",18 Players
18.,Kazakhstan,"$133,000.00",10 Players
19.,Tunisia,"$72,000.00",7 Players
20.,Dominican Republic,"$56,666.66",5 Players
21.,Chile,"$44,883.33",7 Players
22.,Bangladesh,"$40,750.00",5 Players
23.,Singapore,"$40,000.00",4 Players
24.,Jordan,"$30,000.00",2 Players
25.,Costa Rica,"$27,733.34",1 Player
26.,Nicaragua,"$26,438.10",2 Players
27.,Syrian Arab Republic,"$25,000.00",1 Player
28.,Venezuela,"$24,499.98",3 Players
29.,Nepal,"$19,030.35",13 Players
30.,Peru,"$14,666.66",4 Players
31.,Iraq,"$14,000.00",1 Player
32.,"Moldova, Republic of","$12,500.00",1 Player
33.,Ukraine,"$12,500.00",2 Players
34.,France,"$9,000.00",3 Players
35.,Belarus,"$7,500.00",1 Player
36.,Paraguay,"$6,450.00",6 Players
37.,Turkey,"$5,000.00",4 Players
38.,Belgium,"$3,000.00",1 Player
39.,Guatemala,"$2,416.67",1 Player
40.,Bolivia,"$1,833.33",1 Player
41.,United States,"$1,800.00",1 Player
42.,Uruguay,$971.43,5 Players
43.,Puerto Rico,$900.00,1 Player
