rank,country,earning,players
1.,China,"$27,971,406.81",298 Players
2.,Japan,"$4,856,825.58",126 Players
3.,Thailand,"$3,357,580.89",168 Players
4.,Turkey,"$3,066,531.00",169 Players
5.,Indonesia,"$2,407,990.77",289 Players
6.,"Taiwan, Republic of China","$2,355,151.39",41 Players
7.,India,"$2,265,906.65",258 Players
8.,Brazil,"$2,232,297.15",160 Players
9.,Russian Federation,"$1,631,591.44",88 Players
10.,"Korea, Republic of","$1,589,537.45",73 Players
11.,Malaysia,"$1,542,365.03",165 Players
12.,Mongolia,"$1,449,996.19",52 Players
13.,Nepal,"$1,362,819.14",119 Players
14.,Saudi Arabia,"$1,177,079.61",84 Players
15.,Viet Nam,"$1,145,291.59",218 Players
16.,Iraq,"$1,039,232.33",75 Players
17.,United States,"$950,768.79",129 Players
18.,Mexico,"$392,015.79",70 Players
19.,Chile,"$325,372.91",37 Players
20.,Kazakhstan,"$310,833.69",25 Players
21.,Pakistan,"$273,763.75",116 Players
22.,Morocco,"$256,694.10",28 Players
23.,Syrian Arab Republic,"$246,039.93",12 Players
24.,Argentina,"$220,976.33",32 Players
25.,Algeria,"$216,832.01",17 Players
26.,France,"$202,715.49",20 Players
27.,Romania,"$198,797.99",33 Players
28.,Ukraine,"$184,427.91",41 Players
29.,Philippines,"$149,920.01",105 Players
30.,Germany,"$120,178.96",45 Players
31.,Uruguay,"$117,399.79",10 Players
32.,Bangladesh,"$114,208.36",33 Players
33.,Kuwait,"$113,079.52",24 Players
34.,Jordan,"$94,721.83",13 Players
35.,Belarus,"$90,602.92",6 Players
36.,Lebanon,"$79,880.37",13 Players
37.,Egypt,"$72,660.01",20 Players
38.,Spain,"$68,244.52",18 Players
39.,Canada,"$64,228.42",13 Players
40.,Honduras,"$64,047.87",3 Players
41.,Kyrgyzstan,"$62,335.00",4 Players
42.,Cambodia,"$59,723.76",25 Players
43.,Brunei Darussalam,"$58,295.62",136 Players
44.,Colombia,"$57,887.50",10 Players
45.,Azerbaijan,"$51,170.00",7 Players
46.,Myanmar,"$50,657.43",17 Players
47.,Libyan Arab Jamahiriya,"$48,916.71",6 Players
48.,Lithuania,"$48,893.70",2 Players
49.,United Arab Emirates,"$35,095.85",20 Players
50.,United Kingdom,"$32,614.99",9 Players
51.,Venezuela,"$27,513.75",5 Players
52.,Albania,"$26,999.16",8 Players
53.,Afghanistan,"$26,950.00",3 Players
54.,"Palestine, State of","$26,902.17",3 Players
55.,"Kosovo, Republic of","$26,216.66",8 Players
56.,Italy,"$23,606.02",7 Players
57.,Dominican Republic,"$23,100.00",13 Players
58.,Puerto Rico,"$19,525.00",4 Players
59.,Netherlands,"$18,334.31",3 Players
60.,Paraguay,"$17,178.33",7 Players
61.,Switzerland,"$15,950.00",3 Players
62.,Nigeria,"$15,666.71",6 Players
63.,Qatar,"$14,858.33",2 Players
64.,Bosnia and Herzegovina,"$14,050.00",2 Players
65.,Hungary,"$13,035.12",7 Players
66.,Oman,"$11,225.01",2 Players
67.,Israel,"$10,325.00",10 Players
68.,Bulgaria,"$10,225.00",2 Players
69.,Belgium,"$10,000.00",4 Players
70.,Serbia,"$9,950.84",2 Players
71.,Uzbekistan,"$9,930.00",2 Players
72.,Yemen,"$9,275.00",1 Player
73.,Sweden,"$8,250.84",5 Players
74.,Ireland,"$7,942.50",2 Players
75.,Nicaragua,"$7,595.00",3 Players
76.,Peru,"$7,450.00",4 Players
77.,Bolivia,"$7,050.00",2 Players
78.,Slovenia,"$5,978.33",1 Player
79.,Cuba,"$5,775.00",1 Player
80.,Georgia,"$5,311.67",3 Players
81.,Poland,"$5,303.33",4 Players
82.,South Africa,"$4,483.33",5 Players
83.,Zimbabwe,"$4,260.00",1 Player
84.,Austria,"$3,845.00",3 Players
85.,North Macedonia,"$3,700.00",1 Player
86.,Hong Kong,"$3,600.00",6 Players
87.,Latvia,"$3,494.00",1 Player
88.,Tajikistan,"$3,475.00",1 Player
89.,Portugal,"$3,273.66",1 Player
90.,Panama,"$3,100.00",1 Player
91.,"Moldova, Republic of","$2,966.67",1 Player
92.,Singapore,"$2,320.00",10 Players
93.,Lao People's Democratic Republic,"$2,200.00",10 Players
94.,Sudan,"$1,960.00",2 Players
95.,Mozambique,"$1,920.00",2 Players
96.,Sri Lanka,"$1,916.67",1 Player
97.,Jamaica,"$1,800.00",2 Players
98.,Trinidad and Tobago,"$1,625.00",1 Player
99.,Guatemala,"$1,500.00",1 Player
100.,Angola,"$1,200.00",3 Players
101.,Armenia,"$1,125.00",1 Player
102.,Costa Rica,"$1,000.00",1 Player
103.,Mauritius,"$1,000.00",1 Player
104.,Tunisia,$925.00,1 Player
105.,Luxembourg,$750.00,1 Player
106.,Czech Republic,$500.00,2 Players
107.,Belize,$250.00,1 Player
108.,Ecuador,$100.00,1 Player
