rank,country,earning,players
1.,Germany,"$474,121.87",23 Players
2.,Poland,"$335,126.13",61 Players
3.,United Kingdom,"$173,183.11",9 Players
4.,China,"$102,157.52",24 Players
5.,"Moldova, Republic of","$91,065.00",1 Player
6.,Canada,"$69,467.62",4 Players
7.,Russian Federation,"$63,023.71",41 Players
8.,Austria,"$50,638.70",5 Players
9.,Ukraine,"$34,175.45",13 Players
10.,Turkey,"$20,085.70",4 Players
11.,United States,"$20,027.69",34 Players
12.,Colombia,"$17,790.00",2 Players
13.,Brazil,"$11,352.64",15 Players
14.,Belarus,"$9,152.24",7 Players
15.,Denmark,"$9,035.00",2 Players
16.,Spain,"$3,786.78",7 Players
17.,Finland,"$3,758.47",3 Players
18.,Romania,"$3,195.00",3 Players
19.,Netherlands,"$2,983.46",4 Players
20.,Czech Republic,"$2,454.84",6 Players
21.,Belgium,"$1,360.00",3 Players
22.,Italy,"$1,317.90",6 Players
23.,Hungary,"$1,005.89",2 Players
24.,Australia,$898.58,5 Players
25.,Serbia,$745.99,2 Players
26.,Slovenia,$710.94,5 Players
27.,Japan,$578.57,9 Players
28.,France,$569.74,17 Players
29.,"Korea, Republic of",$480.39,8 Players
30.,Slovakia,$162.31,4 Players
31.,Norway,$120.00,1 Player
32.,New Zealand,$94.33,2 Players
33.,Ireland,$88.74,1 Player
34.,Bulgaria,$80.72,3 Players
35.,South Africa,$75.00,3 Players
36.,Lithuania,$56.17,1 Player
37.,Malaysia,$30.00,1 Player
38.,Portugal,$20.00,1 Player
39.,Greece,$10.00,1 Player
40.,Latvia,$5.97,1 Player
41.,Argentina,$5.00,1 Player
