rank,country,earning,players
1.,China,"$4,481,700.28",448 Players
2.,United States,"$3,593,168.72",358 Players
3.,"Korea, Republic of","$1,839,552.90",241 Players
4.,Germany,"$1,809,241.36",122 Players
5.,Japan,"$1,436,493.37",117 Players
6.,France,"$1,347,597.99",235 Players
7.,"Taiwan, Republic of China","$1,338,778.35",92 Players
8.,Canada,"$1,278,282.74",118 Players
9.,Russian Federation,"$1,101,626.11",147 Players
10.,Ukraine,"$814,810.24",43 Players
11.,Sweden,"$743,513.11",56 Players
12.,Netherlands,"$716,632.83",46 Players
13.,United Kingdom,"$553,423.34",87 Players
14.,Czech Republic,"$551,466.88",62 Players
15.,Denmark,"$461,048.20",47 Players
16.,Norway,"$398,292.46",24 Players
17.,Argentina,"$385,406.66",28 Players
18.,Brazil,"$364,307.17",80 Players
19.,Italy,"$364,169.12",109 Players
20.,Hong Kong,"$324,465.10",34 Players
21.,Spain,"$317,828.05",84 Players
22.,Greece,"$308,390.80",62 Players
23.,Poland,"$268,298.17",107 Players
24.,Romania,"$257,985.89",31 Players
25.,Philippines,"$254,220.27",21 Players
26.,Finland,"$247,843.10",59 Players
27.,Turkey,"$222,960.39",28 Players
28.,Belgium,"$166,710.84",37 Players
29.,Singapore,"$148,541.77",32 Players
30.,Australia,"$134,014.89",46 Players
31.,Thailand,"$132,702.59",32 Players
32.,Portugal,"$95,614.19",26 Players
33.,Kazakhstan,"$89,188.93",12 Players
34.,New Zealand,"$76,075.72",15 Players
35.,Switzerland,"$64,264.53",42 Players
36.,Mexico,"$62,658.00",15 Players
37.,Hungary,"$59,831.73",29 Players
38.,Croatia,"$48,408.85",17 Players
39.,Viet Nam,"$46,652.07",24 Players
40.,Bulgaria,"$40,432.32",17 Players
41.,Peru,"$38,705.28",20 Players
42.,Israel,"$35,798.20",14 Players
43.,India,"$33,087.75",4 Players
44.,Indonesia,"$31,988.00",13 Players
45.,Chile,"$31,013.42",21 Players
46.,Slovakia,"$28,750.99",19 Players
47.,Austria,"$27,266.26",25 Players
48.,Malaysia,"$26,034.08",19 Players
49.,South Africa,"$25,834.19",10 Players
50.,Belarus,"$25,413.69",13 Players
51.,Lithuania,"$24,941.62",6 Players
52.,Luxembourg,"$17,000.80",1 Player
53.,Colombia,"$16,783.42",2 Players
54.,"Palestine, State of","$15,000.00",1 Player
55.,Algeria,"$10,953.37",5 Players
56.,Tunisia,"$6,918.96",7 Players
57.,Serbia,"$5,838.20",11 Players
58.,Estonia,"$5,653.30",2 Players
59.,Iceland,"$5,343.45",3 Players
60.,Egypt,"$3,746.50",3 Players
61.,Uruguay,"$3,180.00",4 Players
62.,Bahrain,"$2,250.00",1 Player
63.,Slovenia,"$1,500.00",2 Players
64.,Syrian Arab Republic,"$1,498.25",1 Player
65.,Azerbaijan,"$1,200.00",1 Player
66.,Jordan,"$1,198.60",1 Player
67.,Latvia,"$1,050.00",2 Players
68.,Costa Rica,"$1,000.00",1 Player
69.,Honduras,"$1,000.00",1 Player
70.,Cuba,$985.00,11 Players
71.,Mauritania,$759.00,1 Player
72.,Venezuela,$730.00,3 Players
73.,Madagascar,$458.00,1 Player
74.,Bosnia and Herzegovina,$202.32,2 Players
75.,Cyprus,$138.36,2 Players
76.,Kuwait,$125.00,1 Player
77.,Lebanon,$125.00,1 Player
78.,Kyrgyzstan,$119.31,1 Player
79.,"Iran, Islamic Republic of",$100.00,3 Players
80.,--UNDEFINED--,$77.84,2 Players
