rank,country,earning,players
1.,United States,"$2,063,625.00",156 Players
2.,Japan,"$928,800.00",41 Players
3.,France,"$578,250.00",21 Players
4.,Germany,"$506,000.00",20 Players
5.,Brazil,"$494,625.00",7 Players
6.,Italy,"$397,825.00",17 Players
7.,Poland,"$342,550.00",9 Players
8.,Czech Republic,"$336,925.00",7 Players
9.,Spain,"$265,125.00",16 Players
10.,Argentina,"$236,500.00",4 Players
11.,Portugal,"$229,600.00",7 Players
12.,United Kingdom,"$158,550.00",8 Players
13.,Canada,"$147,500.00",16 Players
14.,Lebanon,"$143,700.00",1 Player
15.,Finland,"$125,000.00",7 Players
16.,Denmark,"$87,000.00",6 Players
17.,Sweden,"$43,950.00",5 Players
18.,Hong Kong,"$41,075.00",3 Players
19.,China,"$40,000.00",4 Players
20.,Australia,"$39,500.00",4 Players
21.,Estonia,"$31,500.00",1 Player
22.,Austria,"$31,000.00",4 Players
23.,Mexico,"$29,750.00",3 Players
24.,Netherlands,"$29,000.00",4 Players
25.,Belgium,"$21,750.00",4 Players
26.,Slovakia,"$19,000.00",2 Players
27.,--UNDEFINED--,"$16,000.00",7 Players
28.,Russian Federation,"$15,000.00",4 Players
29.,"Korea, Republic of","$11,500.00",3 Players
30.,Greece,"$10,000.00",1 Player
31.,Ukraine,"$6,000.00",1 Player
32.,"Tanzania, United Republic of","$4,500.00",1 Player
33.,Guatemala,"$4,000.00",1 Player
34.,Israel,"$4,000.00",1 Player
35.,Chile,"$2,000.00",1 Player
36.,"Taiwan, Republic of China","$1,500.00",1 Player
37.,Ireland,"$1,200.00",1 Player
38.,Slovenia,"$1,000.00",1 Player
39.,Switzerland,$250.00,1 Player
40.,South Africa,$250.00,1 Player
