rank,country,earning,players
1.,United States,"$1,526,020.26",410 Players
2.,Brazil,"$375,686.85",130 Players
3.,Germany,"$263,880.01",38 Players
4.,Sweden,"$209,121.69",46 Players
5.,Canada,"$187,411.82",63 Players
6.,United Kingdom,"$154,947.88",45 Players
7.,France,"$154,915.82",49 Players
8.,Australia,"$138,508.45",99 Players
9.,Netherlands,"$81,306.58",23 Players
10.,Singapore,"$60,555.00",31 Players
11.,Argentina,"$60,534.03",10 Players
12.,Bulgaria,"$52,849.00",3 Players
13.,Finland,"$50,750.05",8 Players
14.,Denmark,"$48,515.48",7 Players
15.,Italy,"$46,859.17",8 Players
16.,Norway,"$29,578.82",7 Players
17.,Spain,"$24,349.99",14 Players
18.,Malaysia,"$22,705.00",16 Players
19.,Indonesia,"$19,972.50",26 Players
20.,Russian Federation,"$15,267.17",9 Players
21.,Thailand,"$14,505.00",6 Players
22.,Hungary,"$11,519.93",5 Players
23.,Portugal,"$10,730.00",5 Players
24.,Chile,"$8,940.00",4 Players
25.,Bangladesh,"$8,515.00",1 Player
26.,Hong Kong,"$6,537.50",5 Players
27.,Japan,"$5,795.00",20 Players
28.,Jordan,"$3,578.33",1 Player
29.,Belgium,"$2,835.00",4 Players
30.,Turkey,"$2,663.33",5 Players
31.,Morocco,"$1,916.34",3 Players
32.,Israel,"$1,870.67",5 Players
33.,India,"$1,865.00",1 Player
34.,New Zealand,"$1,652.25",8 Players
35.,Poland,"$1,543.33",3 Players
36.,Georgia,"$1,040.00",1 Player
37.,Malta,$865.19,1 Player
38.,Ireland,$750.00,3 Players
39.,Czech Republic,$735.00,3 Players
40.,--UNDEFINED--,$630.00,3 Players
41.,Peru,$550.00,1 Player
42.,Slovakia,$522.50,1 Player
43.,"Taiwan, Republic of China",$410.00,1 Player
44.,Egypt,$400.00,1 Player
45.,Philippines,$345.00,7 Players
46.,Switzerland,$300.00,1 Player
47.,Mexico,$290.00,2 Players
48.,Saudi Arabia,$250.00,1 Player
49.,"Korea, Republic of",$220.00,2 Players
50.,Venezuela,$220.00,5 Players
51.,Serbia,$177.14,1 Player
52.,Albania,$150.00,1 Player
53.,Tunisia,$80.83,2 Players
54.,Uruguay,$60.00,1 Player
55.,Viet Nam,$50.00,3 Players
56.,"Kosovo, Republic of",$50.00,1 Player
57.,Colombia,$40.00,2 Players
58.,United States Minor Outlying Islands,$30.00,1 Player
59.,Macao,$25.00,1 Player
60.,Maldives,$20.00,1 Player
61.,Romania,$10.00,1 Player
62.,Algeria,$7.50,1 Player
63.,Iraq,$7.50,1 Player
