rank,country,earning,players
1.,United States,"$786,416.16",115 Players
2.,Japan,"$693,030.40",38 Players
3.,Dominican Republic,"$388,835.20",4 Players
4.,China,"$119,546.39",12 Players
5.,"Korea, Republic of","$107,447.70",7 Players
6.,United Kingdom,"$97,294.66",28 Players
7.,Norway,"$71,111.36",3 Players
8.,France,"$50,903.19",17 Players
9.,Canada,"$34,665.58",11 Players
10.,"Taiwan, Republic of China","$32,840.79",6 Players
11.,Brazil,"$32,748.53",14 Players
12.,Singapore,"$26,926.64",6 Players
13.,Puerto Rico,"$17,421.62",4 Players
14.,Hong Kong,"$13,127.58",9 Players
15.,Belgium,"$12,835.72",2 Players
16.,United Arab Emirates,"$7,408.36",1 Player
17.,Mexico,"$7,300.40",5 Players
18.,Sweden,"$7,016.01",7 Players
19.,Algeria,"$6,775.91",1 Player
20.,Spain,"$6,295.10",1 Player
21.,Panama,"$6,000.00",1 Player
22.,Ireland,"$4,921.63",1 Player
23.,Chile,"$4,827.21",5 Players
24.,Russian Federation,"$4,500.00",2 Players
25.,Australia,"$3,060.00",3 Players
26.,South Africa,"$3,000.00",2 Players
27.,Malaysia,"$2,350.00",2 Players
28.,Bulgaria,"$1,750.00",1 Player
29.,Argentina,"$1,500.00",1 Player
30.,Germany,"$1,500.00",1 Player
31.,Italy,"$1,500.00",1 Player
32.,Peru,"$1,500.00",1 Player
33.,Poland,"$1,500.00",1 Player
34.,Turkey,"$1,375.00",2 Players
35.,Netherlands,"$1,012.32",3 Players
36.,Viet Nam,"$1,000.00",1 Player
37.,Indonesia,$900.00,2 Players
38.,Finland,$750.00,2 Players
39.,Lithuania,$625.00,2 Players
40.,Colombia,$296.32,2 Players
41.,Côte D'Ivoire,$250.00,1 Player
42.,Venezuela,$125.00,1 Player
43.,Thailand,$85.38,3 Players
44.,Denmark,$70.80,1 Player
