rank,country,earning,players
1.,United States,"$1,239,153.22",1387 Players
2.,Mexico,"$347,346.45",93 Players
3.,France,"$202,442.56",193 Players
4.,Canada,"$150,988.85",228 Players
5.,Japan,"$110,416.96",32 Players
6.,United Kingdom,"$58,264.47",149 Players
7.,Germany,"$56,799.19",138 Players
8.,Dominican Republic,"$52,245.34",14 Players
9.,Netherlands,"$37,135.12",76 Players
10.,Spain,"$29,668.86",90 Players
11.,Austria,"$14,612.14",23 Players
12.,India,"$8,776.37",26 Players
13.,Italy,"$8,113.15",70 Players
14.,Sweden,"$7,941.21",21 Players
15.,Guatemala,"$7,002.50",1 Player
16.,Switzerland,"$6,669.69",19 Players
17.,Australia,"$6,226.93",31 Players
18.,Norway,"$6,195.76",23 Players
19.,Finland,"$5,462.93",26 Players
20.,Ecuador,"$5,088.13",8 Players
21.,Belgium,"$4,895.89",21 Players
22.,Chile,"$4,705.11",37 Players
23.,China,"$4,160.71",12 Players
24.,New Zealand,"$3,819.20",3 Players
25.,Qatar,"$3,317.54",4 Players
26.,Saudi Arabia,"$3,292.90",5 Players
27.,Brazil,"$3,206.57",28 Players
28.,Luxembourg,"$2,203.66",13 Players
29.,Colombia,"$1,693.50",8 Players
30.,Greece,"$1,635.04",11 Players
31.,Puerto Rico,"$1,007.78",6 Players
32.,Hong Kong,$967.17,3 Players
33.,Iraq,$956.34,1 Player
34.,Kuwait,$824.18,1 Player
35.,Costa Rica,$665.38,5 Players
36.,Philippines,$514.54,1 Player
37.,United Arab Emirates,$408.00,3 Players
38.,Israel,$312.43,11 Players
39.,Sri Lanka,$285.14,1 Player
40.,"Taiwan, Republic of China",$284.09,1 Player
41.,Peru,$283.40,7 Players
42.,Panama,$282.51,6 Players
43.,Thailand,$279.12,4 Players
44.,Lebanon,$230.00,1 Player
45.,Jamaica,$188.63,1 Player
46.,Ireland,$133.19,2 Players
47.,Singapore,$130.08,1 Player
48.,Portugal,$124.30,3 Players
49.,Argentina,$113.17,2 Players
50.,Turkey,$88.75,1 Player
51.,Venezuela,$79.50,3 Players
52.,Honduras,$76.87,4 Players
53.,Andorra,$73.62,1 Player
54.,Indonesia,$72.59,8 Players
55.,Russian Federation,$54.97,3 Players
56.,Poland,$51.25,5 Players
57.,South Africa,$49.89,1 Player
58.,Denmark,$49.35,2 Players
59.,"Korea, Republic of",$22.81,6 Players
60.,Lithuania,$9.76,2 Players
61.,Hungary,$5.50,1 Player
62.,Uruguay,$5.00,1 Player
