rank,country,earning,players
1.,"Korea, Republic of","$1,059,058.94",64 Players
2.,Japan,"$448,429.59",48 Players
3.,United States,"$395,997.77",220 Players
4.,Pakistan,"$245,485.72",40 Players
5.,Thailand,"$58,368.73",10 Players
6.,Italy,"$52,862.54",14 Players
7.,France,"$44,190.32",20 Players
8.,United Kingdom,"$39,293.82",18 Players
9.,Peru,"$24,600.20",8 Players
10.,Philippines,"$22,818.47",7 Players
11.,Saudi Arabia,"$19,360.00",9 Players
12.,Spain,"$16,974.36",13 Players
13.,India,"$10,832.91",14 Players
14.,Ireland,"$10,215.30",2 Players
15.,Denmark,"$7,000.00",1 Player
16.,Switzerland,"$6,839.60",1 Player
17.,Germany,"$5,916.10",7 Players
18.,Mexico,"$5,772.55",5 Players
19.,Dominican Republic,"$5,176.30",6 Players
20.,Kuwait,"$5,150.00",2 Players
21.,Russian Federation,"$4,875.00",10 Players
22.,Côte D'Ivoire,"$4,200.00",3 Players
23.,Tunisia,"$3,920.00",2 Players
24.,Poland,"$3,850.00",4 Players
25.,South Africa,"$3,850.00",3 Players
26.,Puerto Rico,"$3,714.83",6 Players
27.,Bolivia,"$3,500.00",2 Players
28.,Canada,"$3,205.79",24 Players
29.,Australia,"$2,778.56",11 Players
30.,Venezuela,"$2,553.05",3 Players
31.,Madagascar,"$2,400.00",3 Players
32.,Netherlands,"$2,250.00",1 Player
33.,Finland,"$2,152.34",8 Players
34.,Singapore,"$2,136.20",1 Player
35.,Brazil,"$1,858.21",8 Players
36.,Malaysia,"$1,821.19",3 Players
37.,Georgia,"$1,600.00",1 Player
38.,Panama,"$1,374.73",2 Players
39.,Guatemala,"$1,250.00",1 Player
40.,Morocco,"$1,200.00",1 Player
41.,Togo,"$1,200.00",1 Player
42.,Hungary,"$1,000.00",1 Player
43.,Greece,$956.31,3 Players
44.,Egypt,$780.00,1 Player
45.,Sweden,$655.27,6 Players
46.,Chile,$625.00,3 Players
47.,Bahrain,$511.25,1 Player
48.,Argentina,$500.00,1 Player
49.,Lebanon,$500.00,1 Player
50.,Indonesia,$400.00,2 Players
51.,Belgium,$396.07,2 Players
52.,"Taiwan, Republic of China",$351.17,3 Players
53.,Malta,$329.39,3 Players
54.,Kenya,$150.00,1 Player
55.,Uruguay,$125.00,1 Player
56.,Yemen,$120.00,1 Player
57.,Cambodia,$40.00,1 Player
58.,Belarus,$0.00,1 Player
