rank,country,earning,players
1.,United States,"$6,147,583.18",771 Players
2.,United Kingdom,"$2,246,949.30",137 Players
3.,Canada,"$727,712.74",73 Players
4.,Russian Federation,"$308,560.88",49 Players
5.,Italy,"$252,717.11",47 Players
6.,France,"$249,312.67",68 Players
7.,Spain,"$163,615.95",54 Players
8.,Germany,"$155,518.67",73 Players
9.,Turkey,"$92,834.64",48 Players
10.,Poland,"$87,829.32",41 Players
11.,Mexico,"$38,150.00",14 Players
12.,Ireland,"$29,638.34",5 Players
13.,Latvia,"$26,019.16",3 Players
14.,Lebanon,"$22,782.67",2 Players
15.,Netherlands,"$18,722.33",32 Players
16.,Portugal,"$16,066.67",2 Players
17.,Australia,"$16,020.84",13 Players
18.,Georgia,"$14,250.00",1 Player
19.,Belgium,"$13,851.45",13 Players
20.,Brazil,"$12,599.99",7 Players
21.,Sweden,"$10,762.32",16 Players
22.,Israel,"$10,725.00",3 Players
23.,Norway,"$10,377.18",12 Players
24.,Finland,"$7,566.66",2 Players
25.,Denmark,"$6,216.67",8 Players
26.,Austria,"$6,146.74",6 Players
27.,Ukraine,"$5,000.00",1 Player
28.,Puerto Rico,"$4,166.67",2 Players
29.,Ecuador,"$4,000.00",1 Player
30.,Hungary,"$3,900.00",13 Players
31.,New Zealand,"$3,750.00",2 Players
32.,Afghanistan,"$3,000.00",1 Player
33.,Estonia,"$2,425.00",1 Player
34.,Philippines,"$1,950.00",4 Players
35.,Czech Republic,"$1,875.00",8 Players
36.,Jamaica,"$1,850.00",1 Player
37.,Saudi Arabia,"$1,750.00",1 Player
38.,Colombia,"$1,300.00",1 Player
39.,Qatar,"$1,166.67",1 Player
40.,Gibraltar,"$1,125.00",1 Player
41.,Switzerland,"$1,000.00",1 Player
42.,Morocco,$900.00,1 Player
43.,Honduras,$833.33,1 Player
44.,Guyana,$700.00,1 Player
45.,Argentina,$500.00,1 Player
46.,Japan,$500.00,1 Player
47.,Peru,$500.00,1 Player
48.,Belarus,$425.00,1 Player
49.,Albania,$400.00,1 Player
50.,Singapore,$300.00,1 Player
51.,Romania,$250.00,2 Players
52.,Malta,$203.47,9 Players
53.,Lithuania,$200.00,1 Player
54.,Serbia,$175.00,1 Player
55.,Venezuela,$33.33,1 Player
56.,Tunisia,$12.18,1 Player
