rank,country,earning,players
1.,China,"$1,832,651.29",82 Players
2.,Philippines,"$543,500.03",21 Players
3.,United States,"$540,583.37",17 Players
4.,Mexico,"$389,916.69",11 Players
5.,Brazil,"$365,000.00",22 Players
6.,Japan,"$224,999.98",13 Players
7.,Canada,"$216,916.67",4 Players
8.,India,"$205,000.08",25 Players
9.,Singapore,"$171,750.00",5 Players
10.,Russian Federation,"$171,666.67",1 Player
11.,United Kingdom,"$138,692.86",17 Players
12.,France,"$126,691.66",11 Players
13.,"Taiwan, Republic of China","$87,446.85",9 Players
14.,Puerto Rico,"$85,166.67",2 Players
15.,Indonesia,"$56,000.04",7 Players
16.,Malaysia,"$51,750.00",7 Players
17.,Spain,"$47,173.82",5 Players
18.,Belgium,"$40,000.00",1 Player
19.,Ecuador,"$36,000.00",1 Player
20.,Myanmar,"$36,000.00",1 Player
21.,Greece,"$25,000.00",1 Player
22.,Venezuela,"$21,750.00",3 Players
23.,Thailand,"$20,499.96",12 Players
24.,Netherlands,"$18,000.00",2 Players
25.,Mongolia,"$13,750.00",1 Player
26.,Argentina,"$10,083.33",2 Players
27.,Germany,"$8,083.34",3 Players
28.,Honduras,"$8,000.00",1 Player
29.,Viet Nam,"$8,000.00",1 Player
30.,Iraq,"$7,083.33",1 Player
31.,Czech Republic,"$5,400.00",1 Player
32.,Dominican Republic,"$3,333.34",2 Players
33.,Ireland,"$1,708.34",2 Players
