rank,country,earning,players
1.,United States,"$4,769,499.95",128 Players
2.,United Kingdom,"$602,333.34",49 Players
3.,Canada,"$299,750.00",14 Players
4.,Australia,"$160,000.00",20 Players
5.,Spain,"$127,625.00",9 Players
6.,France,"$115,833.33",7 Players
7.,Denmark,"$72,250.00",1 Player
8.,Saudi Arabia,"$58,333.33",1 Player
9.,Afghanistan,"$50,333.33",1 Player
10.,Belgium,"$30,125.00",2 Players
11.,Argentina,"$9,750.00",6 Players
12.,Ecuador,"$6,125.00",4 Players
13.,Italy,"$6,000.00",5 Players
14.,Guatemala,"$3,250.00",2 Players
15.,Chile,"$2,875.00",1 Player
16.,Poland,"$2,333.33",2 Players
17.,Russian Federation,"$2,000.00",4 Players
18.,Germany,"$1,333.33",1 Player
19.,Mexico,$500.00,2 Players
20.,New Zealand,$500.00,1 Player
21.,Ireland,$250.00,1 Player
