rank,country,earning,players
1.,United States,"$3,252,020.35",105 Players
2.,United Kingdom,"$564,348.68",46 Players
3.,Canada,"$217,143.72",13 Players
4.,Japan,"$180,657.44",23 Players
5.,Australia,"$74,655.00",21 Players
6.,France,"$38,375.00",14 Players
7.,Ireland,"$33,812.50",1 Player
8.,Saudi Arabia,"$29,650.00",1 Player
9.,Spain,"$20,602.38",25 Players
10.,Italy,"$14,261.86",18 Players
11.,Belgium,"$12,250.00",4 Players
12.,New Zealand,"$8,125.00",5 Players
13.,Netherlands,"$3,750.00",2 Players
14.,South Africa,"$1,208.00",8 Players
15.,Finland,$562.50,1 Player
16.,Malta,$298.32,4 Players
17.,Denmark,$56.00,4 Players
