rank,country,earning,players
1.,Sweden,"$2,871,749.97",397 Players
2.,Germany,"$1,505,163.76",391 Players
3.,United States,"$1,494,285.27",473 Players
4.,Russian Federation,"$1,127,428.11",441 Players
5.,Denmark,"$1,031,549.77",199 Players
6.,China,"$854,662.89",269 Players
7.,Poland,"$762,200.13",87 Players
8.,Ukraine,"$719,584.97",280 Players
9.,Norway,"$450,603.12",122 Players
10.,France,"$411,101.22",240 Players
11.,Finland,"$408,115.69",121 Players
12.,Brazil,"$382,444.80",118 Players
13.,"Korea, Republic of","$348,212.86",77 Players
14.,Canada,"$238,896.66",103 Players
15.,Austria,"$162,732.91",31 Players
16.,Spain,"$140,348.67",102 Players
17.,Kazakhstan,"$82,757.70",71 Players
18.,United Kingdom,"$54,660.56",27 Players
19.,Portugal,"$35,924.45",79 Players
20.,Singapore,"$31,912.68",23 Players
21.,Turkey,"$30,686.33",24 Players
22.,Bulgaria,"$28,768.71",56 Players
23.,Bosnia and Herzegovina,"$25,478.64",2 Players
24.,Romania,"$25,248.08",44 Players
25.,Netherlands,"$19,461.88",33 Players
26.,Australia,"$19,011.76",25 Players
27.,Hungary,"$17,623.81",24 Players
28.,Argentina,"$15,753.45",35 Players
29.,"Taiwan, Republic of China","$13,893.10",22 Players
30.,Japan,"$10,983.90",10 Players
31.,Belarus,"$9,276.18",44 Players
32.,Czech Republic,"$7,320.04",22 Players
33.,Belgium,"$6,992.23",14 Players
34.,Estonia,"$6,652.25",18 Players
35.,Malaysia,"$6,139.00",11 Players
36.,Slovakia,"$5,574.85",26 Players
37.,Serbia,"$5,490.56",34 Players
38.,Chile,"$4,948.35",20 Players
39.,Peru,"$4,750.00",8 Players
40.,North Macedonia,"$4,732.64",8 Players
41.,Thailand,"$4,308.61",1 Player
42.,Indonesia,"$3,953.25",8 Players
43.,Iceland,"$3,887.69",7 Players
44.,United Arab Emirates,"$3,603.00",11 Players
45.,Hong Kong,"$3,580.45",17 Players
46.,Uzbekistan,"$3,058.30",7 Players
47.,Italy,"$3,016.18",18 Players
48.,India,"$2,036.00",6 Players
49.,Greece,"$1,941.30",15 Players
50.,Viet Nam,"$1,917.60",1 Player
51.,Switzerland,"$1,579.25",3 Players
52.,Pakistan,"$1,563.00",7 Players
53.,Latvia,"$1,474.00",11 Players
54.,Israel,"$1,062.20",5 Players
55.,Lithuania,$716.50,5 Players
56.,Ecuador,$530.36,1 Player
57.,"Iran, Islamic Republic of",$508.96,2 Players
58.,Ireland,$306.14,2 Players
59.,Algeria,$222.27,1 Player
60.,Venezuela,$145.48,1 Player
61.,Philippines,$100.00,1 Player
62.,"Moldova, Republic of",$98.00,5 Players
63.,Jamaica,$83.33,1 Player
64.,Egypt,$77.98,1 Player
