rank,country,earning,players
1.,China,"$11,019,022.30",233 Players
2.,Brazil,"$2,112,190.80",86 Players
3.,Germany,"$845,280.55",126 Players
4.,Viet Nam,"$712,829.78",41 Players
5.,Philippines,"$342,630.50",34 Players
6.,Russian Federation,"$298,696.30",36 Players
7.,Egypt,"$208,496.92",34 Players
8.,United States,"$163,172.80",44 Players
9.,Colombia,"$98,231.80",9 Players
10.,Canada,"$71,093.50",13 Players
11.,Portugal,"$37,019.48",72 Players
12.,Slovakia,"$35,860.27",2 Players
13.,Netherlands,"$33,123.54",13 Players
14.,Indonesia,"$26,000.00",8 Players
15.,Japan,"$22,525.70",14 Players
16.,"Korea, Republic of","$20,000.00",13 Players
17.,Slovenia,"$19,565.20",2 Players
18.,Croatia,"$14,405.37",6 Players
19.,Turkey,"$12,956.49",14 Players
20.,France,"$8,354.21",10 Players
21.,Belgium,"$7,879.62",12 Players
22.,Austria,"$7,274.30",2 Players
23.,Venezuela,"$6,000.00",6 Players
24.,Malaysia,"$5,000.00",5 Players
25.,"Taiwan, Republic of China","$5,000.00",5 Players
26.,Belarus,"$4,200.00",2 Players
27.,Mexico,"$2,400.00",2 Players
28.,Sweden,"$2,385.85",14 Players
29.,Italy,"$1,956.33",1 Player
30.,Greece,"$1,752.49",9 Players
31.,Peru,"$1,600.00",2 Players
32.,"Iran, Islamic Republic of","$1,050.00",1 Player
33.,Morocco,$967.22,2 Players
34.,Romania,$777.50,11 Players
35.,United Kingdom,$271.74,9 Players
36.,Poland,$271.70,4 Players
37.,Serbia,$141.83,1 Player
38.,Switzerland,$141.28,3 Players
39.,Kazakhstan,$140.00,1 Player
40.,Finland,$54.34,1 Player
41.,Spain,$32.60,1 Player
42.,"Palestine, State of",$20.00,1 Player
