rank,country,earning,players
1.,"Korea, Republic of","$4,348,734.37",220 Players
2.,United States,"$1,162,666.09",134 Players
3.,China,"$473,690.02",70 Players
4.,Saudi Arabia,"$231,698.05",36 Players
5.,United Kingdom,"$178,151.94",27 Players
6.,Denmark,"$154,208.57",14 Players
7.,Sweden,"$122,266.01",13 Players
8.,Thailand,"$84,187.48",14 Players
9.,Germany,"$71,607.40",18 Players
10.,France,"$61,878.30",25 Players
11.,Australia,"$42,144.31",28 Players
12.,Netherlands,"$38,586.57",15 Players
13.,Finland,"$28,996.76",11 Players
14.,Estonia,"$26,584.07",3 Players
15.,Canada,"$20,121.46",19 Players
16.,Dominican Republic,"$15,446.42",1 Player
17.,Turkey,"$14,239.58",6 Players
18.,Japan,"$12,756.24",10 Players
19.,Spain,"$12,698.73",11 Players
20.,Russian Federation,"$11,075.30",6 Players
21.,Belgium,"$11,000.37",6 Players
22.,New Zealand,"$10,374.96",7 Players
23.,Austria,"$10,208.33",1 Player
24.,Norway,"$8,515.79",7 Players
25.,Singapore,"$7,586.89",13 Players
26.,Hong Kong,"$6,562.48",7 Players
27.,Switzerland,"$6,170.83",2 Players
28.,Czech Republic,"$5,279.76",2 Players
29.,Hungary,"$4,757.15",1 Player
30.,Mexico,"$4,687.47",9 Players
31.,"Taiwan, Republic of China","$3,967.27",7 Players
32.,India,"$3,770.84",6 Players
33.,Romania,"$3,357.14",2 Players
34.,Ukraine,"$3,345.24",1 Player
35.,Israel,"$3,113.30",3 Players
36.,Bulgaria,"$3,000.00",1 Player
37.,Greece,"$2,718.75",1 Player
38.,Colombia,"$2,400.00",6 Players
39.,Brazil,"$2,218.72",8 Players
40.,Argentina,"$2,000.00",5 Players
41.,Costa Rica,"$2,000.00",5 Players
42.,Guatemala,"$2,000.00",5 Players
43.,Puerto Rico,"$2,000.00",8 Players
44.,Philippines,"$1,999.98",6 Players
45.,Indonesia,"$1,714.26",6 Players
46.,Peru,"$1,714.26",6 Players
47.,Chile,"$1,666.65",5 Players
48.,Ireland,"$1,607.15",1 Player
49.,Ecuador,"$1,600.00",4 Players
50.,Malaysia,"$1,600.00",4 Players
51.,Italy,"$1,416.65",4 Players
52.,Poland,"$1,333.32",4 Players
53.,Viet Nam,"$1,149.40",1 Player
54.,Lithuania,"$1,071.43",1 Player
55.,Trinidad and Tobago,$944.04,1 Player
56.,Egypt,$875.00,1 Player
57.,Serbia,$479.17,1 Player
58.,South Africa,$375.00,2 Players
59.,Venezuela,$333.33,1 Player
60.,El Salvador,$208.33,1 Player
61.,United Arab Emirates,$113.10,2 Players
62.,Kazakhstan,$101.60,2 Players
63.,Kuwait,$83.34,2 Players
64.,Malta,$41.67,1 Player
