rank,country,earning,players
1.,Thailand,"$551,041.81",63 Players
2.,Indonesia,"$406,946.96",116 Players
3.,Russian Federation,"$306,636.26",139 Players
4.,Brazil,"$180,544.83",51 Players
5.,Ukraine,"$26,381.94",17 Players
6.,Azerbaijan,"$23,756.40",22 Players
7.,Philippines,"$22,946.00",28 Players
8.,Turkey,"$19,799.98",25 Players
9.,Peru,"$8,000.00",16 Players
10.,United States,"$8,000.00",7 Players
11.,"Korea, Republic of","$6,000.00",15 Players
12.,Venezuela,"$6,000.00",12 Players
13.,India,"$5,000.00",11 Players
14.,Singapore,"$4,999.98",9 Players
15.,"Taiwan, Republic of China","$3,000.00",10 Players
16.,Belarus,"$2,255.52",4 Players
17.,United Kingdom,"$1,400.00",2 Players
18.,Portugal,"$1,400.00",2 Players
19.,Italy,$800.00,2 Players
20.,Romania,$800.00,2 Players
21.,Netherlands,$600.00,1 Player
22.,"Moldova, Republic of",$376.00,1 Player
23.,Germany,$15.30,1 Player
