rank,country,earning,players
1.,Brazil,"$8,508,168.33",278 Players
2.,United States,"$7,132,266.79",369 Players
3.,France,"$2,791,617.09",192 Players
4.,Saudi Arabia,"$1,999,738.76",99 Players
5.,Japan,"$1,911,183.98",198 Players
6.,Russian Federation,"$1,733,180.37",73 Players
7.,United Kingdom,"$1,450,496.22",150 Players
8.,"Korea, Republic of","$1,432,303.82",159 Players
9.,Australia,"$1,276,383.27",149 Players
10.,Canada,"$1,146,189.30",129 Players
11.,Finland,"$1,118,290.15",73 Players
12.,Germany,"$809,130.16",136 Players
13.,Mexico,"$636,496.90",54 Players
14.,Denmark,"$613,701.38",17 Players
15.,Thailand,"$610,910.83",58 Players
16.,Sweden,"$577,955.76",32 Players
17.,Spain,"$439,284.52",87 Players
18.,Singapore,"$320,072.75",34 Players
19.,"Taiwan, Republic of China","$219,483.33",37 Players
20.,Estonia,"$170,964.23",2 Players
21.,Switzerland,"$163,869.36",23 Players
22.,Jordan,"$161,719.51",5 Players
23.,Belgium,"$161,058.24",31 Players
24.,Kuwait,"$157,265.90",8 Players
25.,Netherlands,"$142,297.28",76 Players
26.,Poland,"$137,820.60",67 Players
27.,Argentina,"$135,930.59",39 Players
28.,Indonesia,"$122,462.25",35 Players
29.,Italy,"$118,473.85",36 Players
30.,Croatia,"$102,378.30",7 Players
31.,Turkey,"$84,860.51",22 Players
32.,India,"$70,848.58",34 Players
33.,Hungary,"$69,114.15",16 Players
34.,China,"$67,429.78",9 Players
35.,New Zealand,"$57,533.15",11 Players
36.,Lebanon,"$53,697.70",2 Players
37.,Iraq,"$42,616.10",7 Players
38.,Chile,"$38,592.96",14 Players
39.,Bangladesh,"$36,245.21",10 Players
40.,Pakistan,"$28,419.20",15 Players
41.,Egypt,"$25,081.02",11 Players
42.,Bulgaria,"$16,686.47",1 Player
43.,Austria,"$15,953.27",25 Players
44.,Portugal,"$13,276.14",7 Players
45.,Czech Republic,"$11,010.20",8 Players
46.,Sri Lanka,"$10,547.62",6 Players
47.,Malaysia,"$9,355.06",9 Players
48.,Luxembourg,"$6,694.65",1 Player
49.,Uruguay,"$6,416.67",5 Players
50.,Cuba,"$5,653.33",1 Player
51.,Slovakia,"$4,805.39",2 Players
52.,Ireland,"$4,796.57",4 Players
53.,Norway,"$4,373.10",7 Players
54.,Paraguay,"$4,159.62",1 Player
55.,Puerto Rico,"$4,050.00",3 Players
56.,Venezuela,"$3,962.16",2 Players
57.,Hong Kong,"$3,780.00",8 Players
58.,Belarus,"$3,339.20",1 Player
59.,Viet Nam,"$2,770.00",2 Players
60.,Latvia,"$2,311.01",2 Players
61.,Greece,"$2,052.06",5 Players
62.,American Samoa,"$1,750.00",1 Player
63.,Costa Rica,"$1,413.48",1 Player
64.,Slovenia,"$1,190.96",1 Player
65.,Kazakhstan,$845.97,1 Player
66.,Ukraine,$770.50,4 Players
67.,Macao,$770.00,2 Players
68.,Morocco,$700.00,1 Player
69.,Peru,$600.00,1 Player
70.,South Africa,$491.67,1 Player
71.,Tunisia,$452.32,1 Player
72.,Serbia,$35.45,1 Player
