rank,country,earning,players
1.,United States,"$3,608,591.73",957 Players
2.,Brazil,"$1,617,288.72",303 Players
3.,"Korea, Republic of","$1,531,097.56",208 Players
4.,Russian Federation,"$1,334,789.73",204 Players
5.,Canada,"$1,111,804.25",186 Players
6.,Turkey,"$1,048,710.99",245 Players
7.,United Kingdom,"$717,980.14",125 Players
8.,Thailand,"$620,265.63",199 Players
9.,Sweden,"$573,529.69",82 Players
10.,Chile,"$559,182.76",76 Players
11.,Indonesia,"$548,826.93",186 Players
12.,Japan,"$548,414.33",146 Players
13.,Finland,"$487,523.16",46 Players
14.,Poland,"$448,612.70",200 Players
15.,Philippines,"$407,252.08",234 Players
16.,France,"$405,101.18",178 Players
17.,Singapore,"$387,229.92",107 Players
18.,India,"$374,813.04",147 Players
19.,Argentina,"$355,145.84",46 Players
20.,Spain,"$346,723.30",161 Players
21.,Viet Nam,"$277,650.95",217 Players
22.,Germany,"$232,845.90",201 Players
23.,Belgium,"$196,584.31",22 Players
24.,Denmark,"$190,302.40",44 Players
25.,Lithuania,"$179,442.74",23 Players
26.,Australia,"$172,323.56",107 Players
27.,Malaysia,"$163,058.33",98 Players
28.,Colombia,"$157,014.39",40 Players
29.,Latvia,"$146,626.02",10 Players
30.,Egypt,"$138,975.60",47 Players
31.,China,"$137,890.60",36 Players
32.,"Taiwan, Republic of China","$134,970.16",133 Players
33.,Saudi Arabia,"$131,367.82",73 Players
34.,Ukraine,"$122,767.45",20 Players
35.,Czech Republic,"$114,671.51",65 Players
36.,Portugal,"$100,109.95",88 Players
37.,Belarus,"$67,157.08",15 Players
38.,Netherlands,"$61,446.08",20 Players
39.,Cambodia,"$60,906.67",6 Players
40.,Morocco,"$53,063.35",45 Players
41.,Hong Kong,"$52,220.67",57 Players
42.,Croatia,"$49,859.62",19 Players
43.,Hungary,"$49,357.10",43 Players
44.,Mexico,"$44,703.77",49 Players
45.,Bahrain,"$43,099.97",4 Players
46.,Norway,"$38,694.08",23 Players
47.,Pakistan,"$37,719.45",28 Players
48.,Jordan,"$36,688.58",14 Players
49.,United Arab Emirates,"$33,801.00",24 Players
50.,Kazakhstan,"$30,349.52",6 Players
51.,Serbia,"$28,154.15",36 Players
52.,Lebanon,"$25,343.35",9 Players
53.,Italy,"$23,850.96",35 Players
54.,Dominican Republic,"$21,138.87",10 Players
55.,Tunisia,"$20,868.75",17 Players
56.,New Zealand,"$17,625.43",11 Players
57.,Kuwait,"$17,310.00",25 Players
58.,Mongolia,"$16,489.89",30 Players
59.,Algeria,"$15,300.76",22 Players
60.,Israel,"$13,814.75",14 Players
61.,Greece,"$13,172.09",20 Players
62.,Austria,"$12,419.18",19 Players
63.,Guatemala,"$12,226.70",8 Players
64.,Costa Rica,"$11,726.61",3 Players
65.,Bulgaria,"$9,042.26",8 Players
66.,Switzerland,"$7,718.93",12 Players
67.,Ireland,"$7,443.02",6 Players
68.,Puerto Rico,"$7,017.42",3 Players
69.,Syrian Arab Republic,"$7,005.43",5 Players
70.,Romania,"$6,790.31",15 Players
71.,Estonia,"$6,714.54",12 Players
72.,Qatar,"$6,324.33",3 Players
73.,"Iran, Islamic Republic of","$6,174.82",4 Players
74.,Lao People's Democratic Republic,"$5,594.92",7 Players
75.,Slovenia,"$5,373.45",15 Players
76.,Venezuela,"$5,103.96",7 Players
77.,Brunei Darussalam,"$4,910.17",27 Players
78.,Iceland,"$4,799.00",12 Players
79.,North Macedonia,"$4,750.84",11 Players
80.,Sri Lanka,"$4,366.20",1 Player
81.,South Africa,"$3,668.61",22 Players
82.,"Palestine, State of","$3,054.00",1 Player
83.,Slovakia,"$2,362.90",11 Players
84.,Bosnia and Herzegovina,"$2,155.14",8 Players
85.,Cuba,"$1,900.00",3 Players
86.,Albania,"$1,872.77",7 Players
87.,"Kosovo, Republic of","$1,404.00",12 Players
88.,Iraq,"$1,196.00",8 Players
89.,Azerbaijan,"$1,000.00",1 Player
90.,Ecuador,$950.07,6 Players
91.,Bangladesh,$660.27,2 Players
92.,Panama,$550.00,3 Players
93.,Honduras,$400.00,2 Players
94.,Macao,$400.00,2 Players
95.,"Moldova, Republic of",$353.26,3 Players
96.,Luxembourg,$294.97,1 Player
97.,Botswana,$233.33,1 Player
98.,Mozambique,$206.00,1 Player
