rank,country,earning,players
1.,China,"$55,082,286.04",602 Players
2.,Thailand,"$5,613,249.47",199 Players
3.,Viet Nam,"$4,011,712.81",274 Players
4.,"Taiwan, Republic of China","$3,779,413.40",140 Players
5.,"Korea, Republic of","$1,462,890.90",66 Players
6.,Brazil,"$594,685.81",80 Players
7.,Indonesia,"$513,513.89",139 Players
8.,Hong Kong,"$383,432.96",19 Players
9.,Macao,"$318,901.43",14 Players
10.,Malaysia,"$310,755.34",49 Players
11.,United States,"$232,593.38",45 Players
12.,Turkey,"$227,784.50",67 Players
13.,Japan,"$192,457.19",10 Players
14.,Myanmar,"$160,750.02",8 Players
15.,Germany,"$144,728.32",16 Players
16.,Egypt,"$127,000.01",3 Players
17.,Uruguay,"$101,380.96",3 Players
18.,France,"$69,599.98",13 Players
19.,Spain,"$64,364.14",23 Players
20.,Argentina,"$64,000.01",10 Players
21.,Philippines,"$57,527.97",37 Players
22.,Morocco,"$45,666.67",2 Players
23.,Peru,"$44,133.34",2 Players
24.,Singapore,"$39,187.30",32 Players
25.,Italy,"$28,801.69",13 Players
26.,Canada,"$25,066.67",3 Players
27.,Russian Federation,"$14,190.47",3 Players
28.,Netherlands,"$12,104.76",2 Players
29.,Romania,"$10,333.33",1 Player
30.,Mexico,"$8,857.15",7 Players
31.,Ukraine,"$8,221.33",2 Players
32.,Chile,"$7,600.00",5 Players
33.,Switzerland,"$6,142.86",1 Player
34.,Colombia,"$5,380.96",3 Players
35.,"Iran, Islamic Republic of","$4,800.00",1 Player
36.,Venezuela,"$4,342.86",2 Players
37.,Poland,"$3,200.00",2 Players
38.,United Kingdom,"$2,500.00",5 Players
39.,Sweden,"$2,500.00",5 Players
40.,Australia,"$2,000.00",1 Player
41.,Syrian Arab Republic,"$2,000.00",1 Player
42.,Belgium,"$1,666.67",1 Player
43.,India,"$1,000.00",5 Players
